,numreads,covbases,coverage,meandepth,meanbaseq,meanmapq,CPM,Region,Source,Latitude,Longitude,Size_Categorie,station,Metagenome,depth,tricho_present,logCPM,phage_present
ERR599049,0,0,0.0,0.0,0.0,0.0,0.01,Red Sea,Tara,22.025,38.2333,Size_01,33SUR,33SUR0CCII11,SUR,No Tricho,-2.0,False
ERR868419,0,0,0.0,0.0,0.0,0.0,0.01,South Pacific,Tara,-8.9971,220.8037,Size_01,122DCM,122DCM1GGMM11,DCM,No Tricho,-2.0,False
ERR1726559,0,0,0.0,0.0,0.0,0.0,0.01,North Pacific,Tara,31.5213,201.0042,Size_02,132SUR,132SUR1MMQQ11,SUR,Tricho present,-2.0,False
ERR4691598,0,0,0.0,0.0,0.0,0.0,0.01,Arctic,Tara,67.1675,0.2177,Size_02,158DCM,158DCM1KKQQ11,DCM,No Tricho,-2.0,False
ERR599098,0,0,0.0,0.0,0.0,0.0,0.01,Indian,Tara,-16.957,53.9801,Size_01,52SUR,52SUR0CCII11,SUR,No Tricho,-2.0,False
ERR1726580,7,385,0.258043,0.00408177,37.3,42.9,0.04691689008042896,North Pacific,Tara,31.5213,201.0042,Size_03,132SUR,132SUR1QQSS11,SUR,Tricho present,-1.3286707831223932,False
ERR4691846,0,0,0.0,0.0,0.0,0.0,0.01,North Pacific,Tara,7.4122,280.6983,Size_All,140SUR,140SUR1GGZZ11,SUR,Tricho present,-2.0,False
ERR4691739,0,0,0.0,0.0,0.0,0.0,0.01,Mediterranean,Tara,40.6541,2.8407,Size_04,10SUR,10SUR1SSUU11,SUR,No Tricho,-2.0,False
ERR4691844,0,0,0.0,0.0,0.0,0.0,0.01,North Pacific,Tara,7.4122,280.6983,Size_03,140SUR,140SUR1QQSS11,SUR,Tricho present,-2.0,False
ERR318598,0,0,0.0,0.0,0.0,0.0,0.01,Mediterranean,Tara,42.1735,17.7252,Size_04,23DCM,23DCM1SSUU11,DCM,No Tricho,-2.0,False
ERR4691753,59699,140958,94.4759,37.5377,37.6,58.0,400.1273458445041,Indian,Tara,-13.0833,46.971,Size_03,53SUR,53SUR1QQSS11,SUR,Tricho present,2.602198233317355,True
ERR4691693,0,0,0.0,0.0,0.0,0.0,0.01,Arctic,Tara,61.5442,304.0135,Size_02,210SUR,210SUR1KKQQ11,SUR,No Tricho,-2.0,False
ERR1726616,0,0,0.0,0.0,0.0,0.0,0.01,North Pacific,Tara,32.931,238.13549999999998,Size_02,135DCM,135DCM1MMQQ11,DCM,No Tricho,-2.0,False
ERR1726728,942,49051,32.876,0.595188,37.3,58.7,6.313672922252011,Indian,Tara,-17.4174,42.2547,Size_03,58SUR,58SUR1QQSS11,SUR,Tricho present,0.8002820796562274,True
ERR1726573,1,49,0.0328418,0.000328418,39.8,0.0,0.006702412868632708,South Atlantic,Tara,-44.5342,307.545,Size_04,81DCM,81DCM0SSUU11,DCM,No Tricho,-2.17376882313665,False
ERR1726823,1650,7633,5.11595,0.936394,36.2,58.3,11.05898123324397,North Pacific,Tara,22.7598,202.0432,Size_04,131SUR,131SUR1SSUU11,SUR,Tricho present,1.0437151210772564,False
ERR1726617,0,0,0.0,0.0,0.0,0.0,0.01,North Atlantic,Tara,29.6394,280.4605,Size_04,143DCM,143DCM1SSUU11,DCM,Tricho present,-2.0,False
ERR4691852,7455,116406,78.0201,4.71036,38.1,58.4,49.96648793565684,Indian,Tara,-12.807,45.2247,Size_02,54SUR,54SUR2MMQQ11,SUR,Tricho present,1.6986788246523634,True
ERR868391,110,8741.0,5.85858,0.0688807,30.0,58.6,0.7372654155495979,Indian,Tara,-21.5043,54.3563,Size_01,51SUR,51SUR1GGMM11,SUR,Tricho present,-0.13237613797842493,False
ERR1726563,0,0,0.0,0.0,0.0,0.0,0.01,North Pacific,Tara,1.9928,275.4234,Size_03,109DCM,109DCM1QQSS11,DCM,No Tricho,-2.0,False
ERR4691848,3566,63071,42.2728,2.14298,37.7,57.0,23.900804289544237,North Atlantic,Tara,9.8481,279.9546,Size_03,141SUR,141SUR1QQSS11,SUR,Tricho present,1.3784125157026859,True
ERR4691850,11,872,0.58445,0.00653485,38.4,53.4,0.07372654155495979,North Atlantic,Tara,9.8481,279.9546,Size_All,141SUR,141SUR1GGZZ11,SUR,Tricho present,-1.132376137978425,False
ERR4691689,0,0,0.0,0.0,0.0,0.0,0.01,Arctic,Tara,69.1136,308.4914,Size_02,208SUR,208SUR1KKQQ11,SUR,No Tricho,-2.0,False
ERR1726577,0,0,0.0,0.0,0.0,0.0,0.01,North Pacific,Tara,0.0003,206.3241,Size_03,128SUR,128SUR1QQSS11,SUR,No Tricho,-2.0,False
ERR1726787,0,0,0.0,0.0,0.0,0.0,0.01,Mediterranean,Tara,39.3888,19.3905,Size_04,25SUR,25SUR1SSUU11,SUR,No Tricho,-2.0,False
ERR599170,0,0,0.0,0.0,0.0,0.0,0.01,North Atlantic,Tara,35.9346,322.6968,Size_01,150SUR,150SUR0CCKK11,SUR,No Tricho,-2.0,False
ERR1726640,2030,55555,37.2353,1.248,37.7,59.0,13.605898123324398,North Pacific,Tara,22.7598,202.0432,Size_02,131SUR,131SUR1MMQQ11,SUR,Tricho present,1.133727214776563,True
ERR1726555,0,0,0.0,0.0,0.0,0.0,0.01,Mediterranean,Tara,35.7606,14.2522,Size_02,18SUR,18SUR1MMQQ11,SUR,No Tricho,-2.0,False
ERR4691752,20807,134211,89.9538,13.0004,37.2,57.7,139.45710455764075,Indian,Tara,-13.0833,46.971,Size_02,53SUR,53SUR1MMQQ11,SUR,Tricho present,2.144440644034731,True
ERR1726747,0,0,0.0,0.0,0.0,0.0,0.01,North Pacific,Tara,32.931,238.13549999999998,Size_04,135SUR,135SUR1SSUU11,SUR,No Tricho,-2.0,False
ERR1726769,8,684,0.458445,0.00529491,37.0,60.0,0.05361930294906166,North Pacific,Tara,31.5213,201.0042,Size_03,132DCM,132DCM1QQSS11,DCM,Tricho present,-1.2706788361447063,False
ERR1726621,2219,67869,45.4886,1.40727,37.4,59.5,14.87265415549598,North Pacific,Tara,22.7598,202.0432,Size_03,131SUR,131SUR1QQSS11,SUR,Tricho present,1.1723884790953583,True
ERR1726934,0,0,0.0,0.0,0.0,0.0,0.01,Indian,Tara,6.0001,73.8955,Size_04,42SUR,42SUR1SSUU11,SUR,No Tricho,-2.0,False
ERR4691645,0,0,0.0,0.0,0.0,0.0,0.01,Arctic,Tara,78.2518,91.8557,Size_04,188SUR,188SUR1SSUU11,SUR,No Tricho,-2.0,False
ERR1726798,2,168,0.112601,0.00113271,34.6,50.0,0.013404825737265416,Indian,Tara,-17.4174,42.2547,Size_04,58DCM,58DCM1SSUU11,DCM,Tricho present,-1.8727388274726688,False
ERR4691743,0,0,0.0,0.0,0.0,0.0,0.01,South Pacific,Tara,-31.4328,266.0417,Size_All,95SUR,95SUR1GGZZ11,SUR,No Tricho,-2.0,False
ERR1726764,0,0,0.0,0.0,0.0,0.0,0.01,North Atlantic,Tara,34.6712,288.6907,Size_04,146SUR,146SUR1SSUU11,SUR,Tricho present,-2.0,False
ERR599243,0,0,0.0,0.0,0.0,0.0,0.01,South Atlantic,Tara,-31.0266,4.665,Size_04,68SUR,68SUR1SSUU11,SUR,No Tricho,-2.0,False
ERR1726788,0,0,0.0,0.0,0.0,0.0,0.01,North Pacific,Tara,1.9928,275.4234,Size_03,109SUR,109SUR1QQSS11,SUR,No Tricho,-2.0,False
ERR318604,0,0,0.0,0.0,0.0,0.0,0.01,Mediterranean,Tara,33.9178,32.8872,Size_01,30SUR,30SUR1GGMM11,SUR,No Tricho,-2.0,False
ERR599090,0,0,0.0,0.0,0.0,0.0,0.01,Southern,Tara,-62.0385,310.471,Size_01,85SUR,85SUR0CCKK11,SUR,No Tricho,-2.0,False
ERR599250,0,0,0.0,0.0,0.0,0.0,0.01,South Atlantic,Tara,-30.1367,316.7101,Size_02,78SUR,78SUR1MMQQ11,SUR,No Tricho,-2.0,False
ERR1726697,2185,81480,54.6113,1.35662,37.4,57.2,14.644772117962468,Indian,Tara,-21.5043,54.3563,Size_02,51SUR,51SUR3MMQQ11,SUR,Tricho present,1.1656826181697908,True
ERR4691709,0,0,0.0,0.0,0.0,0.0,0.01,Indian,Tara,-21.4966,56.9011,Size_04,50DCM,50DCM2SSUU11,DCM,Tricho present,-2.0,False
ERR4691761,0,0,0.0,0.0,0.0,0.0,0.01,Mediterranean,Tara,43.3482,7.901,Size_03,12DCM,12DCM1QQSS11,DCM,No Tricho,-2.0,False
ERR599050,0,0,0.0,0.0,0.0,0.0,0.01,South Pacific,Tara,-32.7971,272.9307,Size_01,94SUR,94SUR0CCKK11,SUR,No Tricho,-2.0,False
ERR1726593,0,0,0.0,0.0,0.0,0.0,0.01,South Pacific,Tara,-28.1698,252.61669999999998,Size_04,97SUR,97SUR1SSUU11,SUR,No Tricho,-2.0,False
ERR4691692,0,0,0.0,0.0,0.0,0.0,0.01,Arctic,Tara,61.5442,304.0135,Size_All,210SUR,210SUR1GGZZ11,SUR,No Tricho,-2.0,False
ERR1726951,0,0,0.0,0.0,0.0,0.0,0.01,Indian,Tara,20.8222,63.5133,Size_03,36SUR,36SUR1QQSS11,SUR,No Tricho,-2.0,False
ERR4691756,160230,142181,95.2956,100.603,37.9,58.3,1073.9276139410188,Indian,Tara,-12.807,45.2247,Size_03,54SUR,54SUR1QQSS11,SUR,Tricho present,3.03097500955215,True
ERR1726625,0,0,0.0,0.0,0.0,0.0,0.01,North Atlantic,Tara,31.6948,295.7511,Size_03,148SUR,148SUR1QQSS11,SUR,Tricho present,-2.0,False
ERR1726902,5,251,0.168231,0.00325737,37.8,60.0,0.03351206434316354,Red Sea,Tara,22.025,38.2333,Size_03,33SUR,33SUR1QQSS11,SUR,Tricho present,-1.4747988188006311,False
ERR599027,0,0,0.0,0.0,0.0,0.0,0.01,South Atlantic,Tara,-47.1863,301.7098,Size_01,82DCM,82DCM0CCKK11,DCM,No Tricho,-2.0,False
ERR1726557,0,0,0.0,0.0,0.0,0.0,0.01,Mediterranean,Tara,39.0864,5.791,Size_04,9DCM,9DCM1SSUU11,DCM,No Tricho,-2.0,False
ERR4691757,695,40963,27.4551,0.433546,37.5,58.0,4.658176943699733,Indian,Tara,-12.807,45.2247,Size_04,54SUR,54SUR1SSUU11,SUR,Tricho present,0.668215981453464,True
ERR4691759,21,1664,1.11528,0.0129625,38.7,59.7,0.14075067024128687,Indian,Tara,-22.3368,40.3412,Size_03,62SUR,62SUR1QQSS11,SUR,Tricho present,-0.8515495284027307,False
ERR4691758,115,9107,6.10389,0.0723928,37.4,58.3,0.7707774798927615,Indian,Tara,-22.3368,40.3412,Size_01,62SUR,62SUR1GGMM11,SUR,Tricho present,-0.11307098278303826,False
ERR599291,0,0,0.0,0.0,0.0,0.0,0.01,Southern,Tara,-60.2287,299.3524,Size_04,84SUR,84SUR0SSUU11,SUR,No Tricho,-2.0,False
ERR4691849,2,136,0.0911528,0.00113271,39.5,45.0,0.013404825737265416,North Atlantic,Tara,9.8481,279.9546,Size_04,141SUR,141SUR1SSUU11,SUR,Tricho present,-1.8727388274726688,False
ERR4691835,0,0,0.0,0.0,0.0,0.0,0.01,North Pacific,Tara,32.7526,237.99869999999999,Size_04,134SUR,134SUR1SSUU11,SUR,No Tricho,-2.0,False
ERR1726651,545,35997,24.1267,0.344859,37.6,58.7,3.652815013404826,Indian,Tara,-21.5043,54.3563,Size_04,51SUR,51SUR1SSUU11,SUR,Tricho present,0.5626276791399925,True
ERR1726662,0,0,0.0,0.0,0.0,0.0,0.01,Mediterranean,Tara,39.0864,5.791,Size_04,9SUR,9SUR1SSUU11,SUR,No Tricho,-2.0,False
ERR1726677,1278,61172,41.0,0.805623,37.2,58.0,8.565683646112602,Indian,Tara,-17.4174,42.2547,Size_02,58SUR,58SUR1MMQQ11,SUR,Tricho present,0.9327620306857314,True
ERR1726838,23,1169,0.783512,0.0135523,37.6,59.9,0.1541554959785523,Red Sea,Tara,23.36,37.2183,Size_03,32SUR,32SUR1QQSS11,SUR,Tricho present,-0.812040987119057,False
ERR4691755,8943,124677,83.5637,5.6331,37.7,58.2,59.93967828418231,Indian,Tara,-12.807,45.2247,Size_01,54SUR,54SUR1GGMM11,SUR,Tricho present,1.7777144076156433,True
ERR1726737,0,0,0.0,0.0,0.0,0.0,0.01,North Atlantic,Tara,29.6394,280.4605,Size_03,143SUR,143SUR1QQSS11,SUR,Tricho present,-2.0,False
ERR1726780,0,0,0.0,0.0,0.0,0.0,0.01,South Atlantic,Tara,-20.9354,324.8197,Size_02,76DCM,76DCM1MMQQ11,DCM,Tricho present,-2.0,False
ERR1726921,2563,91265,61.1696,1.58872,37.6,57.5,17.17828418230563,Indian,Tara,-21.5043,54.3563,Size_02,51SUR,51SUR2MMQQ11,SUR,Tricho present,1.2349797830475941,True
ERR1726856,0,0,0.0,0.0,0.0,0.0,0.01,North Pacific,Tara,1.9928,275.4234,Size_02,109DCM,109DCM1MMQQ11,DCM,No Tricho,-2.0,False
ERR318600,0,0,0.0,0.0,0.0,0.0,0.01,Mediterranean,Tara,42.1735,17.7252,Size_04,23SUR,23SUR1SSUU11,SUR,No Tricho,-2.0,False
ERR4691794,0,0,0.0,0.0,0.0,0.0,0.01,South Pacific,Tara,-23.0242,225.0768,Size_04,120SUR,120SUR1SSUU11,SUR,No Tricho,-2.0,False
ERR1726595,33,1247,0.835791,0.0199799,36.6,59.8,0.22117962466487937,North Pacific,Tara,22.7598,202.0432,Size_02,131DCM,131DCM1MMQQ11,DCM,Tricho present,-0.6552548832587625,False
ERR1726914,643,36148,24.2279,0.410811,37.4,58.9,4.309651474530831,North Pacific,Tara,22.7598,202.0432,Size_All,131SUR,131SUR1GGZZ11,SUR,Tricho present,0.6344421497875721,True
ERR1726702,0,0,0.0,0.0,0.0,0.0,0.01,North Pacific,Tara,32.931,238.13549999999998,Size_02,135SUR,135SUR1MMQQ11,SUR,No Tricho,-2.0,False
ERR1726624,0,0,0.0,0.0,0.0,0.0,0.01,South Pacific,Tara,-13.0023,264.0241,Size_04,100SUR,100SUR1SSUU11,SUR,No Tricho,-2.0,False
ERR1726837,219.0,16469.0,11.0382,0.14248,37.5,58.7,1.4678284182305632,North Pacific,Tara,31.5213,201.0042,Size_02,132DCM,132DCM1MMQQ11,DCM,Tricho present,0.1666752917034684,False
ERR1726782,0,0,0.0,0.0,0.0,0.0,0.01,North Pacific,Tara,31.5213,201.0042,Size_04,132SUR,132SUR1SSUU11,SUR,Tricho present,-2.0,False
ERR1726930,0,0,0.0,0.0,0.0,0.0,0.01,North Pacific,Tara,32.931,238.13549999999998,Size_04,135DCM,135DCM1SSUU11,DCM,No Tricho,-2.0,False
ERR1726906,0,0,0.0,0.0,0.0,0.0,0.01,South Atlantic,Tara,-40.6511,307.818,Size_02,80DCM,80DCM1MMQQ11,DCM,Tricho present,-2.0,False
ERR1726759,0,0,0.0,0.0,0.0,0.0,0.01,Mediterranean,Tara,42.4552,17.9348,Size_04,24SUR,24SUR1SSUU11,SUR,No Tricho,-2.0,False
ERR1726726,173,12010,8.0496,0.112165,37.9,58.4,1.1595174262734584,Indian,Tara,-21.5043,54.3563,Size_03,51SUR,51SUR1QQSS11,SUR,Tricho present,0.06427727999214541,False
ERR1726663,0,0,0.0,0.0,0.0,0.0,0.01,South Atlantic,Tara,-34.9449,17.9189,Size_03,66SUR,66SUR1QQSS11,SUR,No Tricho,-2.0,False
ERR868452,67,4593,3.07842,0.0420241,37.5,57.4,0.44906166219839144,Indian,Tara,-17.4174,42.2547,Size_01,58SUR,58SUR1GGMM11,SUR,Tricho present,-0.34769402043582354,False
ERR1726960,0,0,0.0,0.0,0.0,0.0,0.01,Red Sea,Tara,18.3967,39.875,Size_03,34DCM,34DCM1QQSS11,DCM,Tricho present,-2.0,False
ERR1726948,0,0,0.0,0.0,0.0,0.0,0.01,North Pacific,Tara,6.3332,257.0568,Size_03,138SUR,138SUR1QQSS11,SUR,No Tricho,-2.0,False
ERR1726706,0,0,0.0,0.0,0.0,0.0,0.01,South Atlantic,Tara,-44.5342,307.545,Size_03,81DCM,81DCM1QQSS11,DCM,No Tricho,-2.0,False
ERR599263,0,0,0.0,0.0,0.0,0.0,0.01,South Atlantic,Tara,-30.1367,316.7101,Size_03,78SUR,78SUR1QQSS11,SUR,Tricho present,-2.0,False
ERR1726644,33340,112342,75.2962,20.9937,36.7,58.7,223.45844504021449,Indian,Tara,4.6599,73.4856,Size_03,43SUR,43SUR1QQSS11,SUR,Tricho present,2.3491967723553366,True
ERR1726648,0,0,0.0,0.0,0.0,0.0,0.01,South Atlantic,Tara,-40.6511,307.818,Size_04,80DCM,80DCM1SSUU11,DCM,No Tricho,-2.0,False
ERR868485,15,933,0.625335,0.00876676,37.1,58.1,0.10053619302949063,North Pacific,Tara,22.7598,202.0432,Size_01,131SUR,131SUR1GGMM11,SUR,Tricho present,-0.9976775640809687,False
ERR4691760,0,0,0.0,0.0,0.0,0.0,0.01,Indian,Tara,-22.3368,40.3412,Size_04,62SUR,62SUR1SSUU11,SUR,Tricho present,-2.0,False
ERR599262,0,0,0.0,0.0,0.0,0.0,0.01,South Atlantic,Tara,-30.1367,316.7101,Size_03,78DCM,78DCM1QQSS11,DCM,No Tricho,-2.0,False
ERR1726976,0,0,0.0,0.0,0.0,0.0,0.01,Mediterranean,Tara,39.3888,19.3905,Size_03,25SUR,25SUR1QQSS11,SUR,No Tricho,-2.0,False
ERR1726674,0,0,0.0,0.0,0.0,0.0,0.01,Indian,Tara,-17.4174,42.2547,Size_04,58SUR,58SUR1SSUU11,SUR,Tricho present,-2.0,False
ERR1726758,117,7523,5.04223,0.0694437,36.9,58.0,0.7841823056300269,South Atlantic,Tara,-40.6511,307.818,Size_03,80DCM,80DCM1QQSS11,DCM,Tricho present,-0.10558296139048831,False
ERR1726590,1254,59705,40.0168,0.776347,37.6,58.2,8.404825737265416,Indian,Tara,-17.4174,42.2547,Size_03,58DCM,58DCM1QQSS11,DCM,Tricho present,0.9245287133580476,True
ERR4691735,0,0,0.0,0.0,0.0,0.0,0.01,Mediterranean,Tara,40.6541,2.8407,Size_03,10DCM,10DCM1QQSS11,DCM,No Tricho,-2.0,False
ERR1726813,4,332,0.22252,0.00256702,38.4,60.0,0.02680965147453083,Indian,Tara,-21.5043,54.3563,Size_04,51DCM,51DCM1SSUU11,DCM,Tricho present,-1.5717088318086876,False
ERR1726654,0,0,0.0,0.0,0.0,0.0,0.01,North Atlantic,Tara,36.4121,287.0711,Size_04,144SUR,144SUR1SSUU11,SUR,Tricho present,-2.0,False
ERR1726841,0,0,0.0,0.0,0.0,0.0,0.01,South Pacific,Tara,-5.2529,274.8455,Size_02,102SUR,102SUR1MMQQ11,SUR,Tricho present,-2.0,False
ERR1726652,0,0,0.0,0.0,0.0,0.0,0.01,Indian,Tara,14.6059,69.9776,Size_04,41SUR,41SUR1SSUU11,SUR,Tricho present,-2.0,False
