,numreads,covbases,coverage,meandepth,meanbaseq,meanmapq,CPM,Region,Source,Latitude,Longitude,Size_Categorie,station,Metagenome,depth,tricho_present,logCPM,phage_present
ERR1726830,0,0,0.0,0.0,0.0,0.0,0.01,South Pacific,Tara,-0.0283,275.4138,Size_03,106DCM,106DCM1QQSS11,DCM,No Tricho,-2.0,False
ERR599245,0,0,0.0,0.0,0.0,0.0,0.01,South Atlantic,Tara,-30.1367,316.7101,Size_04,78SUR,78SUR1SSUU11,SUR,Tricho present,-2.0,False
ERR4691754,10564,124362,83.3525,6.63739,37.2,57.9,70.80428954423593,Indian,Tara,-13.0833,46.971,Size_04,53SUR,53SUR1SSUU11,SUR,Tricho present,1.8500595693982365,True
ERR1726873,0,0,0.0,0.0,0.0,0.0,0.01,North Pacific,Tara,17.0854,241.1087,Size_03,136SUR,136SUR1QQSS11,SUR,Tricho present,-2.0,False
ERR4691696,0,0,0.0,0.0,0.0,0.0,0.01,Arctic,Tara,73.3833,191.8667,Size_03,194SUR,194SUR2QQSS11,SUR,No Tricho,-2.0,False
ERR1726893,22,1659,1.11193,0.0129826,37.9,56.2,0.14745308310991959,North Atlantic,Tara,29.6394,280.4605,Size_03,143DCM,143DCM1QQSS11,DCM,Tricho present,-0.8313461423144437,False
ERR868444,0,0,0.0,0.0,0.0,0.0,0.01,South Pacific,Tara,-28.1698,252.61669999999998,Size_01,97SUR,97SUR1GGMM11,SUR,No Tricho,-2.0,False
ERR1726835,0,0,0.0,0.0,0.0,0.0,0.01,North Atlantic,Tara,36.4121,287.0711,Size_All,144SUR,144SUR1GGZZ11,SUR,Tricho present,-2.0,False
ERR1726575,140,7907,5.2996,0.0876475,37.9,59.0,0.9383378016085792,Indian,Tara,4.6599,73.4856,Size_02,43SUR,43SUR1MMQQ11,SUR,Tricho present,-0.02764078745841194,False
ERR1726751,0,0,0.0,0.0,0.0,0.0,0.01,Red Sea,Tara,27.145,34.8067,Size_03,31SUR,31SUR1QQSS11,SUR,Tricho present,-2.0,False
ERR1726754,93,7265,4.8693,0.0586528,37.0,58.1,0.6233243967828419,Indian,Tara,14.6059,69.9776,Size_03,41DCM,41DCM1QQSS11,DCM,Tricho present,-0.20528587458271483,False
ERR1726671,240,15359,10.2942,0.153076,37.7,55.9,1.60857908847185,Indian,Tara,,,Size_03,51DCM0,51DCM01QQRR11,CM0,Tricho present,0.20644241857495607,False
ERR1726636,0,0,0.0,0.0,0.0,0.0,0.01,South Atlantic,Tara,-40.6511,307.818,Size_03,80SUR,80SUR1QQSS11,SUR,Tricho present,-2.0,False
ERR1726757,0,0,0.0,0.0,0.0,0.0,0.01,North Atlantic,Tara,34.6712,288.6907,Size_03,146SUR,146SUR1QQSS11,SUR,No Tricho,-2.0,False
ERR1726816,0,0,0.0,0.0,0.0,0.0,0.01,North Pacific,Tara,31.5213,201.0042,Size_All,132SUR,132SUR1GGZZ11,SUR,Tricho present,-2.0,False
ERR1726844,1332,55286,37.055,0.830798,36.6,58.6,8.927613941018768,Indian,Tara,14.6059,69.9776,Size_03,41SUR,41SUR1QQSS11,SUR,Tricho present,0.9507354016976324,True
ERR4691686,0,0,0.0,0.0,0.0,0.0,0.01,Arctic,Tara,70.9618,306.397,Size_02,206SUR,206SUR1KKQQ11,SUR,No Tricho,-2.0,False
ERR1726777,0,0,0.0,0.0,0.0,0.0,0.01,Red Sea,Tara,18.3967,39.875,Size_03,34SUR,34SUR1QQSS11,SUR,Tricho present,-2.0,False
ERR4691629,0,0,0.0,0.0,0.0,0.0,0.01,Arctic,Tara,77.1604,73.2057,Size_04,178SUR,178SUR1SSUU11,SUR,No Tricho,-2.0,False
ERR1726618,1,92,0.0616622,0.000616622,28.5,60.0,0.006702412868632708,Mediterranean,Tara,39.3888,19.3905,Size_04,25DCM,25DCM1SSUU11,DCM,No Tricho,-2.17376882313665,False
ERR598961,0,0,0.0,0.0,0.0,0.0,0.01,South Pacific,Tara,-16.9601,259.3665,Size_01,111DCM,111DCM0CCKK11,DCM,No Tricho,-2.0,False
ERR4691843,0,0,0.0,0.0,0.0,0.0,0.01,North Pacific,Tara,7.4122,280.6983,Size_02,140SUR,140SUR1MMQQ11,SUR,Tricho present,-2.0,False
ERR868348,2,139,0.0931635,0.000931635,30,55.0,0.013404825737265416,Red Sea,Tara,23.36,37.2183,Size_01,32DCM,32DCM1GGMM11,DCM,Tricho present,-1.8727388274726688,False
ERR868507,0,0,0.0,0.0,0.0,0.0,0.01,Indian,Tara,0.0033,71.6428,Size_01,45SUR,45SUR1GGMM11,SUR,No Tricho,-2.0,False
ERR1726646,35,2367,1.58646,0.0217024,38.4,59.9,0.2345844504021448,Indian,Tara,0.0033,71.6428,Size_03,45SUR,45SUR1QQSS11,SUR,Tricho present,-0.6297007787863743,False
ERR4691764,13,679,0.455094,0.00711126,37.3,49.2,0.0871313672922252,Indian,Tara,-17.0248,42.7401,Size_03,57SUR,57SUR1QQSS11,SUR,Tricho present,-1.0598254708298132,False
ERR1726684,0,0,0.0,0.0,0.0,0.0,0.01,North Atlantic,Tara,29.6394,280.4605,Size_02,143DCM,143DCM1MMQQ11,DCM,Tricho present,-2.0,False
ERR1726854,4442,108176,72.504,2.77317,36.9,57.5,29.77211796246649,Indian,Tara,-21.5043,54.3563,Size_02,51SUR,51SUR1MMQQ11,SUR,Tricho present,1.4738097310758052,True
ERR1726649,0,0,0.0,0.0,0.0,0.0,0.01,Indian,Tara,-29.5019,37.9889,Size_04,64SUR,64SUR1SSUU11,SUR,Tricho present,-2.0,False
ERR1726885,0,0,0.0,0.0,0.0,0.0,0.01,North Atlantic,Tara,39.2305,289.9623,Size_04,145SUR,145SUR1SSUU11,SUR,No Tricho,-2.0,False
ERR1726630,0,0,0.0,0.0,0.0,0.0,0.01,South Atlantic,Tara,-31.0266,4.665,Size_04,68DCM,68DCM1SSUU11,DCM,No Tricho,-2.0,False
ERR1726767,76,2283,1.53016,0.0451743,37.3,58.9,0.5093833780160858,North Pacific,Tara,22.7598,202.0432,Size_03,131DCM,131DCM1QQSS11,DCM,Tricho present,-0.2929552308558587,False
ERR4691708,0,0,0.0,0.0,0.0,0.0,0.01,Indian,Tara,-21.4966,56.9011,Size_03,50SUR,50SUR1QQSS11,SUR,Tricho present,-2.0,False
ERR1726853,4,305,0.204424,0.00252681,38.8,60.0,0.02680965147453083,South Atlantic,Tara,-44.5342,307.545,Size_03,81SUR,81SUR1QQSS11,SUR,Tricho present,-1.5717088318086876,False
ERR1726538,30,948,0.635389,0.0190483,37.6,60.0,0.20107238605898126,Indian,Tara,4.6599,73.4856,Size_04,43SUR,43SUR1SSUU11,SUR,Tricho present,-0.6966475684169875,False
ERR4691745,0,0,0.0,0.0,0.0,0.0,0.01,Mediterranean,Tara,34.2116,13.7684,Size_02,19SUR,19SUR1MMQQ11,SUR,Tricho present,-2.0,False
ERR1726910,0,0,0.0,0.0,0.0,0.0,0.01,Red Sea,Tara,18.3967,39.875,Size_02,34DCM,34DCM1MMQQ11,DCM,No Tricho,-2.0,False
ERR1726568,11,468,0.313673,0.0061059,36.0,58.3,0.07372654155495979,Red Sea,Tara,23.36,37.2183,Size_03,32DCM,32DCM1QQSS11,DCM,Tricho present,-1.132376137978425,False
ERR599029,8,705,0.47252,0.00497319,38.3,56.0,0.05361930294906166,North Atlantic,Tara,9.8481,279.9546,Size_01,141SUR,141SUR0CCKK11,SUR,Tricho present,-1.2706788361447063,False
ERR1726792,0,0,0.0,0.0,0.0,0.0,0.01,North Pacific,Tara,1.9928,275.4234,Size_02,109SUR,109SUR1MMQQ11,SUR,No Tricho,-2.0,False
ERR4691840,0,0,0.0,0.0,0.0,0.0,0.01,North Atlantic,Tara,29.6394,280.4605,Size_All,143SUR,143SUR1GGZZ11,SUR,Tricho present,-2.0,False
ERR1726748,0,0,0.0,0.0,0.0,0.0,0.01,Mediterranean,Tara,35.7606,14.2522,Size_04,18SUR,18SUR1SSUU11,SUR,No Tricho,-2.0,False
ERR1726894,2,128,0.0857909,0.000857909,37.6,19.0,0.013404825737265416,North Pacific,Tara,6.671,206.9342,Size_03,129SUR,129SUR1QQSS11,SUR,Tricho present,-1.8727388274726688,False
ERR1726718,0,0,0.0,0.0,0.0,0.0,0.01,Mediterranean,Tara,,,Size_04,22DCM0,22DCM01SSUU11,CM0,No Tricho,-2.0,False
ERR4691636,0,0,0.0,0.0,0.0,0.0,0.01,Arctic,Tara,74.8283,76.2096,Size_04,180DCM,180DCM1SSUU11,DCM,No Tricho,-2.0,False
ERR1726541,0,0,0.0,0.0,0.0,0.0,0.01,South Pacific,Tara,-25.8051,248.2798,Size_04,98SUR,98SUR1SSUU11,SUR,No Tricho,-2.0,False
ERR4691666,0,0,0.0,0.0,0.0,0.0,0.01,Arctic,Tara,73.3833,191.8667,Size_04,194DCM,194DCM1SSUU11,DCM,No Tricho,-2.0,False
ERR1726581,0,0,0.0,0.0,0.0,0.0,0.01,North Atlantic,Tara,36.4121,287.0711,Size_03,144SUR,144SUR1QQSS11,SUR,Tricho present,-2.0,False
ERR868436,0,0,0.0,0.0,0.0,0.0,0.01,South Pacific,Tara,-31.4328,266.0417,Size_01,95SUR,95SUR1GGMM11,SUR,No Tricho,-2.0,False
ERR1726917,43,708,0.474531,0.0245777,35.9,58.5,0.28820375335120646,Red Sea,Tara,23.36,37.2183,Size_04,32SUR,32SUR1SSUU11,SUR,Tricho present,-0.5403003675570635,False
ERR868483,0,0,0.0,0.0,0.0,0.0,0.01,South Atlantic,Tara,-40.6511,307.818,Size_01,80DCM,80DCM1GGMM11,DCM,Tricho present,-2.0,False
ERR1726614,1,89,0.0596515,0.000596515,27.3,60.0,0.006702412868632708,Indian,Tara,-0.6625,73.161,Size_04,46SUR,46SUR1SSUU11,SUR,Tricho present,-2.17376882313665,False
ERR4691762,0,0,0.0,0.0,0.0,0.0,0.01,Mediterranean,Tara,43.3482,7.901,Size_03,12SUR,12SUR1QQSS11,SUR,No Tricho,-2.0,False
ERR1726746,0,0,0.0,0.0,0.0,0.0,0.01,Indian,Tara,14.6059,69.9776,Size_04,41DCM,41DCM1SSUU11,DCM,Tricho present,-2.0,False
ERR318601,0,0,0.0,0.0,0.0,0.0,0.01,Mediterranean,Tara,42.1735,17.7252,Size_02,23SUR,23SUR1MMQQ11,SUR,No Tricho,-2.0,False
ERR1726665,115,7995,5.35858,0.0725938,37.5,58.1,0.7707774798927615,Indian,Tara,-21.5043,54.3563,Size_02,51DCM,51DCM2MMQQ11,DCM,Tricho present,-0.11307098278303826,False
ERR1726729,0,0,0.0,0.0,0.0,0.0,0.01,Indian,Tara,-0.6625,73.161,Size_03,46SUR,46SUR1QQSS11,SUR,Tricho present,-2.0,False
ERR4691733,0,0,0.0,0.0,0.0,0.0,0.01,Mediterranean,Tara,38.005,3.9899,Size_04,8SUR,8SUR1SSUU11,SUR,No Tricho,-2.0,False
ERR1726889,0,0,0.0,0.0,0.0,0.0,0.01,North Atlantic,Tara,31.6948,295.7511,Size_04,148SUR,148SUR1SSUU11,SUR,Tricho present,-2.0,False
ERR4691751,5426,109765,73.569,3.39983,37.4,58.2,36.367292225201076,Indian,Tara,-13.0833,46.971,Size_01,53SUR,53SUR1GGMM11,SUR,Tricho present,1.5607109662889274,True
ERR599279,0,0,0.0,0.0,0.0,0.0,0.01,South Atlantic,Tara,-47.1863,301.7098,Size_04,82DCM,82DCM0SSUU11,DCM,No Tricho,-2.0,False
ERR4691672,0,0,0.0,0.0,0.0,0.0,0.01,Arctic,Tara,71.8895,205.0899,Size_04,196SUR,196SUR1SSUU11,SUR,No Tricho,-2.0,False
ERR1726966,44,844,0.565684,0.0252212,37.0,58.8,0.29490616621983917,North Pacific,Tara,22.7598,202.0432,Size_04,131DCM,131DCM1SSUU11,DCM,Tricho present,-0.5303161466504624,False
ERR599081,0,0,0.0,0.0,0.0,0.0,0.01,South Pacific,Tara,-13.0023,264.0241,Size_01,100DCM,100DCM0CCKK11,DCM,No Tricho,-2.0,False
ERR868460,0,0,0.0,0.0,0.0,0.0,0.01,Red Sea,Tara,23.36,37.2183,Size_01,32SUR,32SUR1GGMM11,SUR,Tricho present,-2.0,False
ERR1726673,0,0,0.0,0.0,0.0,0.0,0.01,Mediterranean,Tara,38.425,20.1913,Size_03,26SUR,26SUR1QQSS11,SUR,No Tricho,-2.0,False
ERR1726974,0,0,0.0,0.0,0.0,0.0,0.01,Indian,Tara,0.0033,71.6428,Size_02,45SUR,45SUR1MMQQ11,SUR,Tricho present,-2.0,False
ERR4691738,0,0,0.0,0.0,0.0,0.0,0.01,Mediterranean,Tara,40.6541,2.8407,Size_03,10SUR,10SUR1QQSS11,SUR,No Tricho,-2.0,False
NP01,406,33761,22.628,0.268385,37.1,58.0,2.7211796246648796,North Pacific,Picked Colony,22.45,202.0,colony,22.45ºN 158ºW,NA,SUR,Picked Colony,0.43475721044054416,True
SRR26283905,0,0,0.0,0.0,0.0,0.0,0.01,Red Sea,Picked Colony,29.56,34.95,colony,29.56°N 34.95°E,NA,SUR,Picked Colony,-2.0,False
SRR19658996,3418,68666,46.0228,2.79884,38.8,56.8,22.908847184986598,North Atlantic,Picked Colony,15.5,299.0,colony,15.5ºN 61.0ºW,NA,SUR,Picked Colony,1.360003235248068,True
SRR7822613,31714,104915,70.3184,18.604,36.5,55.8,212.5603217158177,South Pacific,Picked Colony,-18.24,190.0,colony,18.24ºS 170ºW,NA,SUR,Picked Colony,2.3274821987192076,True
SRR19658995,9,781,0.523458,0.00641421,35.3,55.3,0.060321715817694375,North Atlantic,Picked Colony,3.5,338.0,colony,3.5ºN 22.0ºW,NA,SUR,Picked Colony,-1.2195263136973251,False
SRR19658994,155,1007,0.674933,0.118076,35.9,59.0,1.0388739946380698,South Atlantic,Picked Colony,-2.0,338.0,colony,2.0ºS 22.0ºW,NA,SUR,Picked Colony,0.016562875033641546,False
SRR14246929,0,0,0.0,0.0,0.0,0.0,0.01,North Atlantic,Picked Colony,25.0,310.0,colony,25ºN 50ºW,NA,SUR,Picked Colony,-2.0,False
SRR6490002,14,1254,0.840483,0.00840483,37.7,57.4,0.09383378016085792,North Atlantic,Picked Colony,16.48,302.73,colony,16.48ºN 57.27ºW,NA,SUR,Picked Colony,-1.027640787458412,False
SRR17940155,0,0,0.0,0.0,0.0,0.0,0.01,Red Sea,Picked Colony,29.56,34.95,colony,29.56°N 34.95°E,NA,SUR,Picked Colony,-2.0,False
SRR6490001,2,151,0.101206,0.00101206,36.4,60.0,0.013404825737265416,North Atlantic,Picked Colony,13.98,304.32,colony,13.98ºN 55.68ºW,NA,SUR,Picked Colony,-1.8727388274726688,False
SRR19658992,0,0,0.0,0.0,0.0,0.0,0.01,North Atlantic,Picked Colony,2.6,320.0,colony,2.6ºN 40.0ºW,NA,SUR,Picked Colony,-2.0,False
SRR6490003,0,0,0.0,0.0,0.0,0.0,0.01,North Atlantic,Picked Colony,21.23,295.11,colony,21.23ºN 64.89ºW,NA,SUR,Picked Colony,-2.0,False
SRR19658999,17,832,0.557641,0.0117895,35.8,56.2,0.11394101876675604,North Atlantic,Picked Colony,12.5,338.0,colony,12.5ºN 22.0ºW,NA,SUR,Picked Colony,-0.943319901758376,False
FischkornScope22March16_TAGCTT,34634,145338,97.4115,22.5528,35.8,58.7,232.1313672922252,North Pacific,Picked Colony,24.413,203.688,colony,24.413ºN 156.312ºW,NA,SUR,Picked Colony,2.3657338294756873,True
SRR7822620,37683,129526,86.8137,22.9987,36.6,56.8,252.56702412868634,South Pacific,Picked Colony,-22.0,170.0,colony,22ºS 170ºE,NA,SUR,Picked Colony,2.4023766471939054,True
SRR19658997,62,1246,0.835121,0.0469571,35.7,58.5,0.41554959785522794,North Atlantic,Picked Colony,12.8,303.0,colony,12.8ºN 57.0ºW,NA,SUR,Picked Colony,-0.3813771336383961,False
7_7_17_slick_S282,504694,149193,99.9953,487.022,39.2,58.7,3382.667560321716,North Pacific,Picked Colony,24.97,201.55,colony,24.97ºN 158.45ºW,NA,SUR,Picked Colony,3.529259318564778,True
SRR19658993,1045,1053,0.705764,0.795214,35.7,58.9,7.00402144772118,South Atlantic,Picked Colony,-5.6,333.5,colony,5.6ºS 26.5ºW,NA,SUR,Picked Colony,0.8453474673104229,False
SRR26283904,0,0,0.0,0.0,0.0,0.0,0.01,Red Sea,Picked Colony,29.56,34.95,colony,29.56°N 34.95°E,NA,SUR,Picked Colony,-2.0,False
SRR7822621,88769,139285,93.3546,54.9975,36.7,57.6,594.9664879356569,South Pacific,Picked Colony,-19.21,164.69,colony,19.21ºS 164.69ºE,NA,SUR,Picked Colony,2.7744925043596407,True
SRR5134580,0,0,0.0,0.0,0.0,0.0,0.01,North Pacific,Picked Colony,22.45,202.0,colony,22.45°N 158°W,NA,SUR,Picked Colony,-2.0,False
SRR19658990,3,307,0.205764,0.00205764,33.6,60.0,0.020107238605898126,North Atlantic,Picked Colony,7.5,311.5,colony,7.5ºN 48.5ºW,NA,SUR,Picked Colony,-1.6966475684169875,False
SRR17940154,0,0,0.0,0.0,0.0,0.0,0.01,Red Sea,Picked Colony,29.56,34.95,colony,29.56°N 34.95°E,NA,SUR,Picked Colony,-2.0,False
SRR5134611,0,0,0.0,0.0,0.0,0.0,0.01,North Pacific,Picked Colony,22.45,202.0,colony,22.45°N 158°W,NA,SUR,Picked Colony,-2.0,False
SRR6490004,0,0,0.0,0.0,0.0,0.0,0.01,North Atlantic,Picked Colony,27.86,295.01,colony,27.86ºN 64.99ºW,NA,SUR,Picked Colony,-2.0,False
SRR17940156,0,0,0.0,0.0,0.0,0.0,0.01,Red Sea,Picked Colony,29.56,34.95,colony,29.56°N 34.95°E,NA,SUR,Picked Colony,-2.0,False
SRR19658998,47,2102,1.40885,0.0370912,35.7,59.4,0.3150134048257373,North Atlantic,Picked Colony,6.5,338.0,colony,6.5ºN 22.0ºW,NA,SUR,Picked Colony,-0.5016709652009325,False
SRR6490005,28,1126,0.754692,0.0157306,36.8,55.1,0.18766756032171583,North Atlantic,Picked Colony,11.86,300.56,colony,11.86ºN 59.44ºW,NA,SUR,Picked Colony,-0.7266107917944308,False
SRR19658989,8,498,0.33378,0.00652815,36.6,52.8,0.05361930294906166,North Atlantic,Picked Colony,7.5,311.5,colony,7.5ºN 48.5ºW,NA,SUR,Picked Colony,-1.2706788361447063,False
SRR6490006,0,0,0.0,0.0,0.0,0.0,0.01,North Atlantic,Picked Colony,9.9,301.51,colony,9.9ºN 58.49ºW,NA,SUR,Picked Colony,-2.0,False
SRR19658991,0,0,0.0,0.0,0.0,0.0,0.01,North Atlantic,Picked Colony,5.0,315.7,colony,5.0ºN 44.3ºW,NA,SUR,Picked Colony,-2.0,False
S281,115,9266,6.21046,0.105241,39.4,59.6,0.7707774798927615,North Pacific,Picked Colony,24.0,202.0,colony,24ºN 158ºW,NA,SUR,Picked Colony,-0.11307098278303826,False
