Region,Sample ID,Source,Sample_Accession,Latitude,Longitude,Collection Date,size Gb,bases,
North Pacific,NP01,Unpublished Dyhrman lab data,S1,22.45ºN,158ºW,Jul-15,10.8,111937055.00,estimated
North Atlantic,NA01,"Frishkorn et al., 2017",SRR6490001,13.98ºN,55.68ºW,May-14,1.1,9067799.00,
North Atlantic,NA02,"Frishkorn et al., 2017",SRR6490002,16.48ºN,57.27ºW,May-14,3,"24,522,732",
North Atlantic,NA03,"Frishkorn et al., 2017",SRR6490003,21.23ºN,64.89ºW,May-14,5.4,"45,080,408",
North Atlantic,NA04,"Frishkorn et al., 2017",SRR6490004,27.86ºN,64.99ºW,May-14,4,"33,044,652",
North Atlantic,NA05,"Frishkorn et al., 2017",SRR6490005,11.86ºN,59.44ºW,May-14,3.3,"26,590,472",
North Atlantic,NA06,"Frishkorn et al., 2017",SRR6490006,9.9ºN,58.49ºW,May-14,2.3,"18,492,342",
North Atlantic,NA99,"Webb et al., 2023",SRR19658999,12.5ºN,22.0ºW,Feb-March 2018,8.9,"94,387,682",
North Atlantic,NA98,"Webb et al., 2023",SRR19658998,6.5ºN,22.0ºW,Feb-March 2018,9.3,"95,852,256",
North Atlantic,NA95,"Webb et al., 2023",SRR19658995,3.5ºN,22.0ºW,Feb-March 2018,10.7,111937055.00,
North Atlantic,NA89,"Webb et al., 2023",SRR19658989,7.5ºN,48.5ºW,Feb-March 2018,9.8,"103,343,215",
North Atlantic,NA90,"Webb et al., 2023",SRR19658990,7.5ºN,48.5ºW,Feb-March 2018,8.8,"73,049,770",
North Atlantic,NA91,"Webb et al., 2023",SRR19658991,5.0ºN,44.3ºW,Feb-March 2018,9.2,"96,157,637",
North Atlantic,NA92,"Webb et al., 2023",SRR19658992,2.6ºN,40.0ºW,Feb-March 2018,9.7,"102,533,774",
North Atlantic,NA96,"Webb et al., 2023",SRR19658996,15.5ºN,61.0ºW,Feb-March 2018,9.9,"82,561,465",
North Atlantic,NA97,"Webb et al., 2023",SRR19658997,12.8ºN,57.0ºW,Feb-March 2018,10,"104,356,042",
South Atlantic,SA93,"Webb et al., 2023",SRR19658993,5.6ºS,26.5ºW,Feb-March 2018,8.9,"92,443,136",
South Atlantic,SA94,"Webb et al., 2023",SRR19658994,2.0ºS,22.0ºW,Feb-March 2018,8.2,"86,795,012",
South Pacific,SP13,"Frishkorn et al., 2018",SRR7822613,18.24ºS,170ºW,Mar-15,27,"206,111,762",
South Pacific,SP20,"Frishkorn et al., 2018",SRR7822620,22ºS,170ºE,Mar-15,22.7,"169,994,863",
South Pacific,SP21,"Frishkorn et al., 2018",SRR7822621,19.21ºS,164.69ºE,Feb-15,28.8,"217,130,568",
Red Sea,RS04,"Koedooder et al., 2023",SRR26283904,29.56°N,34.95°E,May-19,3.3,"35,836,486",
Red Sea,RS05,"Koedooder et al., 2023",SRR26283905,29.56°N,34.95°E,May-19,0.1519,"1,577,055",
Red Sea,RS956,"Koedooder et al., 2023",SRR26283956,29.56°N,34.95°E,May-19,35.8,"394,730,930",
Red Sea,RS955,"Koedooder et al., 2023",SRR26283955,29.56°N,34.95°E,May-19,66.4,"714,670,379",
Red Sea,RS154,"Koedooder et al., 2022",SRR17940154,29.56°N,34.95°E,Nov-20,18.9,"172,638,941",
Red Sea,RS155,"Koedooder et al., 2022",SRR17940155,29.56°N,34.95°E,Nov-20,17.9,"161,874,174",
Red Sea,RS156,"Koedooder et al., 2022",SRR17940156,29.56°N,34.95°E,Nov-20,26.6,"240,889,586",
North Pacific,NP11,"Gradoville et al., 2017",SRR5134611,22.45°N,158°W,Mar-14,5.2,"13,294,194",
North Pacific,NP80,"Gradoville et al., 2017",SRR5134580,22.45°N,158°W,Mar-14,3.4,"8,629,462",
North Atlantic,NA29,"Cerdan-Garcia et al., 2022",SRR14246929,25ºN,50ºW,Jul-16,1.4,"4,085,151",
North Pacific,NP81,Unpublished Dyhrman lab data,S281,24ºN,158ºW,Jul-17,28.8,"217,130,568",estimated
,,,,,,,,,
,,,,,,,419.6519,3870746623,