,Trichodesmium thiebautii Atlantic-pop,Trichodesmium thiebautii Indian-pop,Trichodesmium erythraeum,Trichodesmium miru,Trichodesmium nobis
131SUR1SSUU11,22.05791627,37.10405909,105.8648218,4.752088354,9.084278981
51SUR2MMQQ11,88.85591638,145.2559661,93.74369601,0,21.61730289
53SUR1QQSS11,88.60705637,166.0477397,85.44326055,0,23.08785835
131SUR1MMQQ11,5.114052992,11.81269434,82.56999939,0,0
51SUR3MMQQ11,81.38120667,134.1685234,80.61701741,0,20.87812457
53SUR1SSUU11,117.9231822,196.8549315,63.52152687,0,26.78368439
51SUR1MMQQ11,73.83905394,125.1576799,54.97316892,0,17.62673642
54SUR1QQSS11,39.40482382,74.73614181,44.80013842,0,10.56560203
53SUR1MMQQ11,28.32430003,51.94269505,40.70244164,0,7.804541074
54SUR2MMQQ11,21.72340767,39.17493766,33.66600782,0,6.011400214
131SUR1QQSS11,21.21736654,38.29958512,24.6201071,0,6.429058417
43SUR1QQSS11,2.844390547,4.945607231,17.15613876,0,0
51DCM2MMQQ11,9.016737365,15.00366071,16.13616205,1.699729662,3.076304076
141SUR1QQSS11,88.37509073,54.89856808,10.9765899,6.566473835,13.83611619
58SUR1QQSS11,35.26079366,65.6967091,9.045324949,0,8.680190899
131SUR1GGZZ11,9.009408065,15.05637675,8.089643032,0,0
58DCM1QQSS11,25.19909305,46.44186487,7.519021219,3.548395777,6.67137032
43SUR1MMQQ11,0.622805623,0.993864866,5.970897121,0,0
32SUR1QQSS11,4.872370992,9.32327705,5.928024084,0,0
41SUR1SSUU11,23.61606502,40.42506714,5.592495329,3.829939305,6.884722796
53SUR1GGMM11,7.957586213,14.89546335,5.434142646,0,0
32SUR1SSUU11,1.206073368,2.366691188,5.178336479,0,0.813338709
131DCM1MMQQ11,6.369279742,10.74854142,4.871935995,0,0
32DCM1QQSS11,1.973161985,3.668058967,4.616070775,0.824817852,0.951301617
131DCM1SSUU11,0.862924263,1.664015502,4.189422053,0,0
132SUR1QQSS11,2.047144212,3.965173762,4.022506573,0,0
131DCM1QQSS11,2.979478295,5.337692831,3.609440218,0,1.043965229
58SUR1MMQQ11,9.956871438,18.23320944,3.475092892,0,0
62SUR1QQSS11,8.969197774,17.83159896,3.34762533,0,0
51SUR1SSUU11,11.35639799,19.99702402,3.273424268,0,0
54SUR1SSUU11,18.08706604,29.44029115,3.156069665,0,0
51DCM01QQRR11,0.700687845,1.334229345,3.019862145,0,0
51SUR1QQSS11,3.746617343,6.426191985,2.916709973,0,1.046784143
19SUR1MMQQ11,0,0,2.861184666,0,0
54SUR1GGMM11,2.884785751,5.489622709,2.818710242,0,0
50SUR1QQSS11,11.20890423,18.08890239,2.59603324,0,3.017254378
41SUR1QQSS11,5.046811704,9.105009531,2.426475104,0,0
57SUR1QQSS11,8.836883729,17.09377924,2.41741035,0,2.383113392
132SUR1MMQQ11,0.607306506,1.144843719,1.890207822,0,0
78SUR1QQSS11,0,0,1.850376054,0,0
129SUR1QQSS11,0,0,1.784250596,0.845165067,0
141SUR1GGZZ11,18.3975695,11.33149039,1.642403441,0,0
62SUR1GGMM11,2.611618017,5.08472022,1.074941005,0,0
80SUR1QQSS11,0,0,1.016964967,0,0
102SUR1MMQQ11,0,0,0.902075858,0,0
45SUR1QQSS11,1.877679355,3.344388631,0.900953836,0,1.193466019
140SUR1GGZZ11,0,0,0.792029158,0,0
80DCM1MMQQ11,0,0,0.755061499,0,0
80DCM1QQSS11,0,0,0.704363837,0,0
132DCM1QQSS11,0,0.415261345,0.654980123,0,0
140SUR1MMQQ11,0,0,0.63927182,0,0
80DCM1GGMM11,0,0,0.632480636,0,0
132DCM1MMQQ11,0,0,0.614587344,0,0
41DCM1QQSS11,0.663705136,1.138932734,0.560198822,1.112277554,1.362387817
131SUR1GGMM11,0.697930952,1.175627662,0.504688279,0,0
50DCM2SSUU11,0.738611931,1.317871718,0.43894667,0,0
51SUR1GGMM11,0.863109177,1.664469068,0.433808992,0,0
132SUR1GGZZ11,0,0.421260117,0.417362517,0,0
140SUR1QQSS11,0,0,0.388632858,0,0
45SUR1MMQQ11,0,0.522229694,0.381561169,0,0
76DCM1MMQQ11,0,0,0.374548534,0,0
58SUR1SSUU11,7.930756939,13.06693518,0,0,1.937561049
58DCM1SSUU11,5.641863485,9.291410402,0,0,1.481503334
141SUR1SSUU11,5.266388131,3.946519044,0,0,0
62SUR1SSUU11,1.624011595,2.932697288,0,0.554811785,0
143DCM1SSUU11,2.307603342,1.842339978,0,0,0
43SUR1SSUU11,1.226968598,2.155417359,0,0,0
64SUR1SSUU11,1.09604981,1.79383771,0,0,0
58SUR1GGMM11,0.881466048,1.69702338,0,0,0
144SUR1GGZZ11,1.327477514,0.840940069,0,0,0
51DCM1SSUU11,0.77036663,1.344734512,0,0,0
32DCM1GGMM11,0.70932835,1.351903776,0,0,0
81SUR1QQSS11,0,1.972030505,0,43.63627953,0
46SUR1SSUU11,0.779998944,1.176724998,0,0,0
78SUR1SSUU11,1.068716226,0.846865685,0,0,0
31SUR1QQSS11,0.59970824,1.154236918,0,0,0
33SUR1QQSS11,0.548117362,1.038753239,0,0,0
132SUR1SSUU11,0.518379902,0.955662929,0,0,0
148SUR1QQSS11,0.819015702,0.645614195,0,0,0
143DCM1QQSS11,0.844617822,0.602510823,0,0,0
148SUR1SSUU11,0.774602831,0.627281362,0,0,0
144SUR1SSUU11,0.729618409,0.588391761,0,0,0
143SUR1GGZZ11,0.760414919,0,0,0,0
46SUR1QQSS11,0,0.726202578,0,0,0
34SUR1QQSS11,0,0.689712486,0,0,0
143DCM1MMQQ11,0.668126251,0,0,0,0
143SUR1QQSS11,0.632706902,0,0,0,0
141SUR0CCKK11,0.597422036,0,0,0,0
41DCM1SSUU11,0,0.516918586,0,0,1.378416295
34DCM1QQSS11,0,0.460822751,0,0,0
136SUR1QQSS11,0,0.442358237,0,0.901359504,0
144SUR1QQSS11,0.421081758,0,0,0,0
32SUR1GGMM11,0,0.405751096,0,0,0
146SUR1SSUU11,0.389932231,0,0,0,0
23SUR1SSUU11,0,0,0,0,7.758028989
9DCM1SSUU11,0,0,0,0,5.154565002
9SUR1SSUU11,0,0,0,0,3.463527838
12SUR1QQSS11,0,0,0,0,2.085996552
23DCM1MMQQ11,0,0,0,0,1.886050308
66SUR1SSUU11,0,0,0,11.60930251,1.716096
24SUR1SSUU11,0,0,0,0,1.555352332
18SUR1SSUU11,0,0,0,0,1.427567015
23SUR1MMQQ11,0,0,0,0,1.424698933
23DCM1SSUU11,0,0,0,0,1.371942625
12DCM1QQSS11,0,0,0,0,1.1024577
18SUR1MMQQ11,0,0,0,0,1.058600639
25DCM1SSUU11,0,0,0,0,1.024232829
42SUR1SSUU11,0,0,0,0,1.016759429
25SUR1SSUU11,0,0,0,0,1.010187425
68SUR1SSUU11,0,0,0,7.228163789,0.885991307
22DCM01SSUU11,0,0,0,0,0.754157899
22DCM1MMQQ11,0,0,0,0,0.7444392
10SUR1QQSS11,0,0,0,0,0.668984076
10SUR1SSUU11,0,0,0,0,0.52435083
34DCM1MMQQ11,0,0,0,0,0.479526816
26SUR1QQSS11,0,0,0,0,0.469890062
18DCM1MMQQ11,0,0,0,0,0.379389803
10DCM1QQSS11,0,0,0,0.412510293,0.358493782
25SUR1QQSS11,0,0,0,0,0.341252516
133DCM1SSUU11,0,0,0,13.76061502,0
81SUR01SSUU11,0,0,0,12.28182957,0
68DCM1SSUU11,0,0,0,3.772970789,0
125SUR1QQSS11,0,0,0,3.231686954,0
152SUR1SSUU11,0,0,0,3.186845673,0
135SUR1MMQQ11,0,0,0,2.884494169,0
145SUR1SSUU11,0,0,0,2.393359583,0
135DCM1MMQQ11,0,0,0,2.36403674,0
135DCM1SSUU11,0,0,0,1.878246984,0
109SUR1QQSS11,0,0,0,1.825075141,0
134SUR1SSUU11,0,0,0,1.780455026,0
102SUR1QQSS11,0,0,0,1.779164894,0
135SUR1SSUU11,0,0,0,1.63962797,0
128SUR1QQSS11,0,0,0,1.403865676,0
106SUR1QQSS11,0,0,0,1.378855558,0
109SUR1MMQQ11,0,0,0,1.177558202,0
106DCM1QQSS11,0,0,0,1.128791235,0
127SUR1QQSS11,0,0,0,1.12200883,0
81DCM01SSUU11,0,0,0,1.108536173,0
102DCM1QQSS11,0,0,0,1.014725191,0
129DCM1QQSS11,0,0,0,0.988609246,0
81DCM1QQSS11,0,0,0,0.946514102,0
109DCM1QQSS11,0,0,0,0.911551541,0
80DCM1SSUU11,0,0,0,0.895498621,0
102DCM1MMQQ11,0,0,0,0.857458176,0
139SUR1MMQQ11,0,0,0,0.81156636,0
155SUR1SSUU11,0,0,0,0.752423051,0
66SUR1QQSS11,0,0,0,0.719838018,0
129SUR1MMQQ11,0,0,0,0.612314783,0
100SUR1SSUU11,0,0,0,0.550609642,0
139SUR1QQSS11,0,0,0,0.538445547,0
138SUR1QQSS11,0,0,0,0.526686921,0
106SUR1MMQQ11,0,0,0,0.524069797,0
109DCM1MMQQ11,0,0,0,0.485476438,0
149SUR1QQSS11,0,0,0,0.455305794,0
135SUR1QQSS11,0,0,0,0.439068569,0
66DCM1GGMM11,0,0,0,0.399037636,0
102DCM1GGZZ11,0,0,0,0.381805167,0
106SUR1SSUU11,0,0,0,0.377252846,0
100DCM0CCKK11,0,0,0,0,0
100DCM1GGMM11,0,0,0,0,0
100DCM1GGZZ11,0,0,0,0,0
100DCM1QQSS11,0,0,0,0,0
100DCM1SSUU11,0,0,0,0,0
100SUR0CCKK11,0,0,0,0,0
100SUR1GGMM11,0,0,0,0,0
100SUR1GGZZ11,0,0,0,0,0
100SUR1MMQQ11,0,0,0,0,0
100SUR1QQSS11,0,0,0,0,0
102DCM0CCKK11,0,0,0,0,0
102DCM1GGMM11,0,0,0,0,0
102SUR0CCKK11,0,0,0,0,0
102SUR1GGMM11,0,0,0,0,0
102SUR1GGZZ11,0,0,0,0,0
102SUR1SSUU11,0,0,0,0,0
106DCM1GGMM11,0,0,0,0,0
106DCM1GGZZ11,0,0,0,0,0
106DCM1MMQQ11,0,0,0,0,0
106DCM1SSUU11,0,0,0,0,0
106SUR1GGMM11,0,0,0,0,0
106SUR1GGZZ11,0,0,0,0,0
109DCM01QQSS11,0,0,0,0,0
109DCM0CCKK11,0,0,0,0,0
109DCM1GGMM11,0,0,0,0,0
109DCM1GGZZ11,0,0,0,0,0
109SUR0CCKK11,0,0,0,0,0
109SUR1GGMM11,0,0,0,0,0
109SUR1GGZZ11,0,0,0,0,0
109SUR1SSUU11,0,0,0,0,0
10DCM1GGMM11,0,0,0,0,0
10DCM1SSUU11,0,0,0,0,0
10SUR1GGMM11,0,0,0,0,0
110DCM0CCKK11,0,0,0,0,0
110DCM1GGMM11,0,0,0,0,0
110DCM1GGZZ11,0,0,0,0,0
110DCM1MMQQ11,0,0,0,0,0
110DCM1SSUU11,0,0,0,0,0
110SUR0CCKK11,0,0,0,0,0
110SUR1GGMM11,0,0,0,0,0
110SUR1GGZZ11,0,0,0,0,0
110SUR1MMQQ11,0,0,0,0,0
110SUR1QQSS11,0,0,0,0,0
110SUR1SSUU11,0,0,0,0,0
111DCM0CCKK11,0,0,0,0,0
111DCM1GGMM11,0,0,0,0,0
111DCM1GGZZ11,0,0,0,0,0
111DCM1MMQQ11,0,0,0,0,0
111DCM1QQSS11,0,0,0,0,0
111DCM1SSUU11,0,0,0,0,0
111SUR0CCKK11,0,0,0,0,0
111SUR1GGMM11,0,0,0,0,0
111SUR1GGZZ11,0,0,0,0,0
111SUR1MMQQ11,0,0,0,0,0
111SUR1SSUU11,0,0,0,0,0
111SUR2QQSS11,0,0,0,0,0
112DCM0CCKK11,0,0,0,0,0
112DCM1GGMM11,0,0,0,0,0
112DCM1QQSS11,0,0,0,0,0
112DCM1SSUU11,0,0,0,0,0
112SUR0CCKK11,0,0,0,0,0
112SUR1GGMM11,0,0,0,0,0
112SUR1MMQQ11,0,0,0,0,0
112SUR1QQSS11,0,0,0,0,0
112SUR1SSUU11,0,0,0,0,0
113SUR1GGMM11,0,0,0,0,0
113SUR1GGZZ11,0,0,0,0,0
113SUR1QQSS11,0,0,0,0,0
113SUR1SSUU11,0,0,0,0,0
114SUR1GGZZ11,0,0,0,0,0
114SUR1QQSS11,0,0,0,0,0
114SUR1SSUU11,0,0,0,0,0
115SUR1GGZZ11,0,0,0,0,0
115SUR1QQSS11,0,0,0,0,0
115SUR1SSUU11,0,0,0,0,0
116SUR1GGZZ11,0,0,0,0,0
116SUR1QQSS11,0,0,0,0,0
116SUR1SSUU11,0,0,0,0,0
117SUR1GGZZ11,0,0,0,0,0
117SUR1QQSS11,0,0,0,0,0
117SUR1SSUU11,0,0,0,0,0
118SUR1GGZZ11,0,0,0,0,0
118SUR1QQSS11,0,0,0,0,0
118SUR1SSUU11,0,0,0,0,0
119SUR1GGZZ11,0,0,0,0,0
119SUR1QQSS11,0,0,0,0,0
119SUR1SSUU11,0,0,0,0,0
11SUR01GGZZ11,0,0,0,0,0
11SUR1QQSS11,0,0,0,0,0
11SUR1SSUU11,0,0,0,0,0
120SUR1QQSS11,0,0,0,0,0
120SUR1SSUU11,0,0,0,0,0
120SUR2GGZZ11,0,0,0,0,0
121SUR1GGZZ11,0,0,0,0,0
121SUR1QQSS11,0,0,0,0,0
121SUR1SSUU11,0,0,0,0,0
122DCM0CCKK11,0,0,0,0,0
122DCM1GGMM11,0,0,0,0,0
122DCM1GGZZ11,0,0,0,0,0
122DCM1MMQQ11,0,0,0,0,0
122DCM1QQSS11,0,0,0,0,0
122DCM1SSUU11,0,0,0,0,0
122SUR0CCKK11,0,0,0,0,0
122SUR1GGMM11,0,0,0,0,0
122SUR1GGZZ11,0,0,0,0,0
122SUR1MMQQ11,0,0,0,0,0
122SUR1QQSS11,0,0,0,0,0
122SUR1SSUU11,0,0,0,0,0
123SUR0CCKK11,0,0,0,0,0
123SUR1GGMM11,0,0,0,0,0
123SUR1GGZZ11,0,0,0,0,0
123SUR1MMQQ11,0,0,0,0,0
123SUR1QQSS11,0,0,0,0,0
123SUR1SSUU11,0,0,0,0,0
124SUR0CCKK11,0,0,0,0,0
124SUR1CCKK11,0,0,0,0,0
124SUR1GGMM11,0,0,0,0,0
124SUR1GGZZ11,0,0,0,0,0
124SUR1KKQQ11,0,0,0,0,0
124SUR1MMQQ11,0,0,0,0,0
124SUR1QQSS11,0,0,0,0,0
124SUR1SSUU11,0,0,0,0,0
125SUR0CCKK11,0,0,0,0,0
125SUR1GGMM11,0,0,0,0,0
125SUR1GGZZ11,0,0,0,0,0
125SUR1MMQQ11,0,0,0,0,0
125SUR1SSUU11,0,0,0,0,0
126SUR1GGMM11,0,0,0,0,0
126SUR1GGZZ11,0,0,0,0,0
126SUR1MMQQ11,0,0,0,0,0
126SUR1QQSS11,0,0,0,0,0
126SUR1SSUU11,0,0,0,0,0
127DCM1GGMM11,0,0,0,0,0
127DCM1GGZZ11,0,0,0,0,0
127DCM1MMQQ11,0,0,0,0,0
127DCM1QQSS11,0,0,0,0,0
127DCM1SSUU11,0,0,0,0,0
127SUR1GGMM11,0,0,0,0,0
127SUR1GGZZ11,0,0,0,0,0
127SUR1MMQQ11,0,0,0,0,0
127SUR1SSUU11,0,0,0,0,0
128DCM0CCKK11,0,0,0,0,0
128DCM1GGMM11,0,0,0,0,0
128DCM1GGZZ11,0,0,0,0,0
128DCM1MMQQ11,0,0,0,0,0
128DCM1QQSS11,0,0,0,0,0
128DCM1SSUU11,0,0,0,0,0
128SUR0CCKK11,0,0,0,0,0
128SUR1GGMM11,0,0,0,0,0
128SUR1GGZZ11,0,0,0,0,0
128SUR1MMQQ11,0,0,0,0,0
128SUR1SSUU11,0,0,0,0,0
129DCM1GGMM11,0,0,0,0,0
129DCM1GGZZ11,0,0,0,0,0
129DCM1MMQQ11,0,0,0,0,0
129DCM1SSUU11,0,0,0,0,0
129SUR1GGMM11,0,0,0,0,0
129SUR1GGZZ11,0,0,0,0,0
129SUR1SSUU11,0,0,0,0,0
130SUR1GGMM11,0,0,0,0,0
130SUR1GGZZ11,0,0,0,0,0
130SUR1QQSS11,0,0,0,0,0
130SUR1SSUU11,0,0,0,0,0
131DCM1GGMM11,0,0,0,0,0
131DCM1GGZZ11,0,0,0,0,0
132DCM0CCKK11,0,0,0,0,0
132DCM1GGMM11,0,0,0,0,0
132DCM1GGZZ11,0,0,0,0,0
132DCM1SSUU11,0,0,0,0,0
132SUR0CCKK11,0,0,0,0,0
132SUR1GGMM11,0,0,0,0,0
133DCM0CCKK11,0,0,0,0,0
133DCM1GGMM11,0,0,0,0,0
133DCM1GGZZ11,0,0,0,0,0
133DCM1MMQQ11,0,0,0,0,0
133DCM1QQSS11,0,0,0,0,0
133SUR0CCKK11,0,0,0,0,0
133SUR1GGMM11,0,0,0,0,0
133SUR1GGZZ11,0,0,0,0,0
133SUR1MMQQ11,0,0,0,0,0
133SUR1QQSS11,0,0,0,0,0
133SUR1SSUU11,0,0,0,0,0
134SUR1GGMM11,0,0,0,0,0
134SUR1GGZZ11,0,0,0,0,0
135DCM1GGMM11,0,0,0,0,0
135DCM1GGZZ11,0,0,0,0,0
135DCM1QQSS11,0,0,0,0,0
135SUR1GGMM11,0,0,0,0,0
135SUR1GGZZ11,0,0,0,0,0
136SUR1GGMM11,0,0,0,0,0
136SUR1GGZZ11,0,0,0,0,0
136SUR1MMQQ11,0,0,0,0,0
136SUR1SSUU11,0,0,0,0,0
137DCM0CCKK11,0,0,0,0,0
137DCM1GGMM11,0,0,0,0,0
137DCM1GGZZ11,0,0,0,0,0
137DCM1MMQQ11,0,0,0,0,0
137DCM1QQSS11,0,0,0,0,0
137DCM1SSUU11,0,0,0,0,0
137SUR0CCKK11,0,0,0,0,0
137SUR1GGMM11,0,0,0,0,0
137SUR1GGZZ11,0,0,0,0,0
137SUR1MMQQ11,0,0,0,0,0
137SUR1QQSS11,0,0,0,0,0
137SUR1SSUU11,0,0,0,0,0
138DCM0CCKK11,0,0,0,0,0
138DCM1GGMM11,0,0,0,0,0
138DCM1GGZZ11,0,0,0,0,0
138DCM1MMQQ11,0,0,0,0,0
138DCM1QQSS11,0,0,0,0,0
138DCM1SSUU11,0,0,0,0,0
138SUR0CCKK11,0,0,0,0,0
138SUR1GGMM11,0,0,0,0,0
138SUR1GGZZ11,0,0,0,0,0
138SUR1SSUU11,0,0,0,0,0
139SUR1GGMM11,0,0,0,0,0
139SUR1GGZZ11,0,0,0,0,0
139SUR2SSUU11,0,0,0,0,0
140SUR0CCKK11,0,0,0,0,0
140SUR1GGMM11,0,0,0,0,0
140SUR1SSUU11,0,0,0,0,0
141SUR1GGMM11,0,0,0,0,0
142DCM0CCKK11,0,0,0,0,0
142DCM1GGMM11,0,0,0,0,0
142DCM1QQSS11,0,0,0,0,0
142DCM1SSUU11,0,0,0,0,0
142SUR0CCKK11,0,0,0,0,0
142SUR1GGMM11,0,0,0,0,0
142SUR1GGZZ11,0,0,0,0,0
142SUR1QQSS11,0,0,0,0,0
142SUR1SSUU11,0,0,0,0,0
143DCM1GGMM11,0,0,0,0,0
143DCM1GGZZ11,0,0,0,0,0
143SUR1GGMM11,0,0,0,0,0
143SUR1SSUU11,0,0,0,0,0
145SUR0CCKK11,0,0,0,0,0
145SUR1GGMM11,0,0,0,0,0
145SUR1GGZZ11,0,0,0,0,0
145SUR1MMQQ11,0,0,0,0,0
145SUR1QQSS11,0,0,0,0,0
