,Trichodesmium thiebautii Atlantic-pop,Trichodesmium thiebautii Indian-pop,Trichodesmium erythraeum,Trichodesmium miru,Trichodesmium nobis
146SUR0CCKK11,0,0,0,0,0
146SUR1GGMM11,0,0,0,0,0
146SUR1GGZZ11,0,0,0,0,0
146SUR1MMQQ11,0,0,0,0,0
146SUR1QQSS11,0,0,0,0,0
147SUR1GGMM11,0,0,0,0,0
147SUR1GGZZ11,0,0,0,0,0
147SUR1QQSS11,0,0,0,0,0
147SUR1SSUU11,0,0,0,0,0
147SUR2MMQQ11,0,0,0,0,0
148SUR0CCKK11,0,0,0,0,0
148SUR1GGMM11,0,0,0,0,0
148SUR1GGZZ11,0,0,0,0,0
148SUR1MMQQ11,0,0,0,0,0
149SUR0CCKK11,0,0,0,0,0
149SUR1GGMM11,0,0,0,0,0
149SUR1GGZZ11,0,0,0,0,0
149SUR1MMQQ11,0,0,0,0,0
149SUR1SSUU11,0,0,0,0,0
14SUR1QQSS11,0,0,0,0,0
150DCM0CCKK11,0,0,0,0,0
150DCM1GGMM11,0,0,0,0,0
150DCM1GGZZ11,0,0,0,0,0
150DCM1MMQQ11,0,0,0,0,0
150DCM1QQSS11,0,0,0,0,0
150DCM1SSUU11,0,0,0,0,0
150SUR0CCKK11,0,0,0,0,0
150SUR1GGMM11,0,0,0,0,0
150SUR1GGZZ11,0,0,0,0,0
150SUR1MMQQ11,0,0,0,0,0
150SUR1QQSS11,0,0,0,0,0
150SUR1SSUU11,0,0,0,0,0
151DCM01QQSS11,0,0,0,0,0
151DCM01SSUU11,0,0,0,0,0
151DCM0CCKK11,0,0,0,0,0
151DCM1GGMM11,0,0,0,0,0
151DCM1GGZZ11,0,0,0,0,0
151SUR0CCKK11,0,0,0,0,0
151SUR1GGMM11,0,0,0,0,0
151SUR1GGZZ11,0,0,0,0,0
151SUR1MMQQ11,0,0,0,0,0
151SUR1QQSS11,0,0,0,0,0
151SUR1SSUU11,0,0,0,0,0
152SUR0CCKK11,0,0,0,0,0
152SUR1GGMM11,0,0,0,0,0
152SUR1GGZZ11,0,0,0,0,0
152SUR1MMQQ11,0,0,0,0,0
152SUR1QQSS11,0,0,0,0,0
155DCM0CCKK11,0,0,0,0,0
155DCM1GGZZ11,0,0,0,0,0
155DCM1KKQQ11,0,0,0,0,0
155DCM1QQSS11,0,0,0,0,0
155DCM1SSUU11,0,0,0,0,0
155DCM2KKQQ11,0,0,0,0,0
155SUR0CCKK11,0,0,0,0,0
155SUR1GGZZ11,0,0,0,0,0
155SUR1KKQQ11,0,0,0,0,0
155SUR2KKQQ11,0,0,0,0,0
155SUR2QQSS11,0,0,0,0,0
158DCM0CCKK11,0,0,0,0,0
158DCM1GGZZ11,0,0,0,0,0
158DCM1KKQQ11,0,0,0,0,0
158DCM1QQSS11,0,0,0,0,0
158DCM1SSUU11,0,0,0,0,0
158SUR0CCKK11,0,0,0,0,0
158SUR1GGZZ11,0,0,0,0,0
158SUR1KKQQ11,0,0,0,0,0
158SUR1SSUU11,0,0,0,0,0
158SUR2QQSS11,0,0,0,0,0
163SUR0CCKK11,0,0,0,0,0
163SUR1GGZZ11,0,0,0,0,0
163SUR1KKQQ11,0,0,0,0,0
163SUR1SSUU11,0,0,0,0,0
168DCM0CCKK11,0,0,0,0,0
168DCM1GGZZ11,0,0,0,0,0
168DCM1KKQQ11,0,0,0,0,0
168DCM1QQSS11,0,0,0,0,0
168DCM1SSUU11,0,0,0,0,0
168SUR0CCKK11,0,0,0,0,0
168SUR1GGZZ11,0,0,0,0,0
168SUR1KKQQ11,0,0,0,0,0
168SUR1QQSS11,0,0,0,0,0
168SUR1SSUU11,0,0,0,0,0
16DCM1GGMM11,0,0,0,0,0
16SUR2GGMM11,0,0,0,0,0
173DCM0CCKK11,0,0,0,0,0
173DCM1GGZZ11,0,0,0,0,0
173DCM1KKQQ11,0,0,0,0,0
173DCM1SSUU11,0,0,0,0,0
173SUR0CCKK11,0,0,0,0,0
173SUR1GGZZ11,0,0,0,0,0
173SUR1KKQQ11,0,0,0,0,0
173SUR1QQSS11,0,0,0,0,0
173SUR1SSUU11,0,0,0,0,0
175DCM1GGZZ11,0,0,0,0,0
175DCM1KKQQ11,0,0,0,0,0
175SUR0CCKK11,0,0,0,0,0
175SUR1GGZZ11,0,0,0,0,0
175SUR1KKQQ11,0,0,0,0,0
175SUR1QQSS11,0,0,0,0,0
175SUR1SSUU11,0,0,0,0,0
178SUR0CCKK11,0,0,0,0,0
178SUR1GGZZ11,0,0,0,0,0
178SUR1KKQQ11,0,0,0,0,0
178SUR1QQSS11,0,0,0,0,0
178SUR1SSUU11,0,0,0,0,0
17DCM1QQSS11,0,0,0,0,0
17SUR1QQSS11,0,0,0,0,0
180DCM1GGZZ11,0,0,0,0,0
180DCM1KKQQ11,0,0,0,0,0
180DCM1QQSS11,0,0,0,0,0
180DCM1SSUU11,0,0,0,0,0
180SUR0CCKK11,0,0,0,0,0
180SUR1GGZZ11,0,0,0,0,0
180SUR1KKQQ11,0,0,0,0,0
180SUR1QQSS11,0,0,0,0,0
180SUR1SSUU11,0,0,0,0,0
188DCM0CCKK11,0,0,0,0,0
188DCM1GGZZ11,0,0,0,0,0
188DCM1KKQQ11,0,0,0,0,0
188DCM1QQSS11,0,0,0,0,0
188DCM1SSUU11,0,0,0,0,0
188SUR0CCKK11,0,0,0,0,0
188SUR1GGZZ11,0,0,0,0,0
188SUR1KKQQ11,0,0,0,0,0
188SUR1QQSS11,0,0,0,0,0
188SUR1SSUU11,0,0,0,0,0
189DCM0CCKK11,0,0,0,0,0
189DCM1GGZZ11,0,0,0,0,0
189DCM1KKQQ11,0,0,0,0,0
189DCM1QQSS11,0,0,0,0,0
189DCM1SSUU11,0,0,0,0,0
189SUR0CCKK11,0,0,0,0,0
189SUR1GGZZ11,0,0,0,0,0
189SUR1KKQQ11,0,0,0,0,0
189SUR1QQSS11,0,0,0,0,0
189SUR1SSUU11,0,0,0,0,0
18DCM0CCII11,0,0,0,0,0
18DCM1GGMM11,0,0,0,0,0
18DCM1QQSS11,0,0,0,0,0
18DCM1SSUU11,0,0,0,0,0
18SUR0CCII11,0,0,0,0,0
18SUR1GGMM11,0,0,0,0,0
18SUR1QQSS11,0,0,0,0,0
191SUR0CCKK11,0,0,0,0,0
191SUR1QQSS11,0,0,0,0,0
191SUR1SSUU11,0,0,0,0,0
191SUR2GGZZ11,0,0,0,0,0
191SUR2KKQQ11,0,0,0,0,0
193SUR0CCKK11,0,0,0,0,0
193SUR1GGZZ11,0,0,0,0,0
193SUR1KKQQ11,0,0,0,0,0
193SUR1QQSS11,0,0,0,0,0
193SUR1SSUU11,0,0,0,0,0
194DCM0CCKK11,0,0,0,0,0
194DCM1GGZZ11,0,0,0,0,0
194DCM1KKQQ11,0,0,0,0,0
194DCM1QQSS11,0,0,0,0,0
194DCM1SSUU11,0,0,0,0,0
194SUR0CCKK11,0,0,0,0,0
194SUR1GGZZ11,0,0,0,0,0
194SUR1KKQQ11,0,0,0,0,0
194SUR1SSUU11,0,0,0,0,0
194SUR2QQSS11,0,0,0,0,0
196SUR0CCKK11,0,0,0,0,0
196SUR1GGZZ11,0,0,0,0,0
196SUR1KKQQ11,0,0,0,0,0
196SUR1QQSS11,0,0,0,0,0
196SUR1SSUU11,0,0,0,0,0
19SUR1GGMM11,0,0,0,0,0
19SUR1QQSS11,0,0,0,0,0
19SUR1SSUU11,0,0,0,0,0
201DCM0CCKK11,0,0,0,0,0
201DCM1GGZZ11,0,0,0,0,0
201DCM1KKQQ11,0,0,0,0,0
201DCM1QQSS11,0,0,0,0,0
201DCM1SSUU11,0,0,0,0,0
201SUR0CCKK11,0,0,0,0,0
201SUR1GGZZ11,0,0,0,0,0
201SUR1KKQQ11,0,0,0,0,0
201SUR1QQSS11,0,0,0,0,0
201SUR1SSUU11,0,0,0,0,0
205SUR0CCKK11,0,0,0,0,0
205SUR1GGZZ11,0,0,0,0,0
205SUR1KKQQ11,0,0,0,0,0
205SUR1QQSS11,0,0,0,0,0
205SUR1SSUU11,0,0,0,0,0
206SUR0CCKK11,0,0,0,0,0
206SUR1GGZZ11,0,0,0,0,0
206SUR1KKQQ11,0,0,0,0,0
206SUR1QQSS11,0,0,0,0,0
206SUR1SSUU11,0,0,0,0,0
208SUR0CCKK11,0,0,0,0,0
208SUR1GGZZ11,0,0,0,0,0
208SUR1KKQQ11,0,0,0,0,0
208SUR1QQSS11,0,0,0,0,0
208SUR2SSUU11,0,0,0,0,0
209SUR0CCKK11,0,0,0,0,0
209SUR1GGZZ11,0,0,0,0,0
209SUR1KKQQ11,0,0,0,0,0
209SUR1QQSS11,0,0,0,0,0
209SUR2SSUU11,0,0,0,0,0
20SUR2GGMM11,0,0,0,0,0
20SUR2QQSS11,0,0,0,0,0
20SUR2SSUU11,0,0,0,0,0
210SUR0CCKK11,0,0,0,0,0
210SUR1GGZZ11,0,0,0,0,0
210SUR1KKQQ11,0,0,0,0,0
210SUR1QQSS11,0,0,0,0,0
210SUR2SSUU11,0,0,0,0,0
21SUR1GGMM11,0,0,0,0,0
21SUR1QQSS11,0,0,0,0,0
21SUR1SSUU11,0,0,0,0,0
22DCM1GGMM11,0,0,0,0,0
22DCM1QQSS11,0,0,0,0,0
22SUR02SSUU11,0,0,0,0,0
22SUR1GGMM11,0,0,0,0,0
22SUR1MMQQ11,0,0,0,0,0
22SUR1QQSS11,0,0,0,0,0
23DCM0CCII11,0,0,0,0,0
23DCM1GGMM11,0,0,0,0,0
23DCM1QQSS11,0,0,0,0,0
23SUR0CCII11,0,0,0,0,0
23SUR1GGMM11,0,0,0,0,0
23SUR1QQSS11,0,0,0,0,0
24SUR1QQSS11,0,0,0,0,0
25DCM0CCII11,0,0,0,0,0
25DCM1GGMM11,0,0,0,0,0
25DCM1QQSS11,0,0,0,0,0
25SUR0CCII11,0,0,0,0,0
25SUR1GGMM11,0,0,0,0,0
25SUR1MMQQ11,0,0,0,0,0
26SUR1SSUU11,0,0,0,0,0
30DCM0CCII11,0,0,0,0,0
30DCM1GGMM11,0,0,0,0,0
30DCM1MMQQ11,0,0,0,0,0
30SUR0CCII11,0,0,0,0,0
30SUR1GGMM11,0,0,0,0,0
30SUR1MMQQ11,0,0,0,0,0
30SUR1QQSS11,0,0,0,0,0
31SUR1CCII11,0,0,0,0,0
31SUR1SSUU11,0,0,0,0,0
32DCM0CCII11,0,0,0,0,0
32DCM1SSUU11,0,0,0,0,0
32SUR0CCII11,0,0,0,0,0
33SUR0CCII11,0,0,0,0,0
33SUR1SSUU11,0,0,0,0,0
34DCM0CCII11,0,0,0,0,0
34DCM1GGMM11,0,0,0,0,0
34DCM1SSUU11,0,0,0,0,0
34SUR0CCII11,0,0,0,0,0
34SUR2SSUU11,0,0,0,0,0
36DCM0CCII11,0,0,0,0,0
36DCM1GGMM11,0,0,0,0,0
36DCM1QQSS11,0,0,0,0,0
36DCM1SSUU11,0,0,0,0,0
36SUR0CCII11,0,0,0,0,0
36SUR1GGMM11,0,0,0,0,0
36SUR1QQSS11,0,0,0,0,0
36SUR1SSUU11,0,0,0,0,0
38DCM0CCII11,0,0,0,0,0
38DCM0GGMM11,0,0,0,0,0
38DCM0QQSS11,0,0,0,0,0
38DCM0SSUU11,0,0,0,0,0
38SUR0CCII11,0,0,0,0,0
38SUR0GGMM11,0,0,0,0,0
39DCM1GGMM11,0,0,0,0,0
39DCM1QQSS11,0,0,0,0,0
39DCM1SSUU11,0,0,0,0,0
39SUR1GGMM11,0,0,0,0,0
39SUR1QQSS11,0,0,0,0,0
41DCM0CCII11,0,0,0,0,0
41DCM1GGMM11,0,0,0,0,0
41SUR0CCII11,0,0,0,0,0
41SUR1GGMM11,0,0,0,0,0
42DCM0CCII11,0,0,0,0,0
42DCM1GGMM11,0,0,0,0,0
42DCM1QQSS11,0,0,0,0,0
42DCM1SSUU11,0,0,0,0,0
42SUR0CCII11,0,0,0,0,0
42SUR1GGMM11,0,0,0,0,0
42SUR1QQSS11,0,0,0,0,0
43SUR1GGMM11,0,0,0,0,0
45SUR0CCII11,0,0,0,0,0
45SUR1GGMM11,0,0,0,0,0
45SUR1SSUU11,0,0,0,0,0
46SUR1GGMM11,0,0,0,0,0
46SUR1MMQQ11,0,0,0,0,0
47DCM01GGZZ11,0,0,0,0,0
47SUR1QQSS11,0,0,0,0,0
47SUR1SSUU11,0,0,0,0,0
48SUR0CCII11,0,0,0,0,0
49SUR1QQSS11,0,0,0,0,0
49SUR1SSUU11,0,0,0,0,0
4DCM0CCII11,0,0,0,0,0
4DCM1GGMM11,0,0,0,0,0
4SUR1CCII11,0,0,0,0,0
4SUR1GGMM11,0,0,0,0,0
4SUR1MMQQ11,0,0,0,0,0
4SUR1SSUU11,0,0,0,0,0
50DCM01MMQQ11,0,0,0,0,0
50DCM1GGMM11,0,0,0,0,0
50SUR2GGMM11,0,0,0,0,0
51DCM1GGMM11,0,0,0,0,0
52DCM0CCII11,0,0,0,0,0
52DCM0GGMM11,0,0,0,0,0
52DCM0QQSS11,0,0,0,0,0
52DCM0SSUU11,0,0,0,0,0
52SUR0CCII11,0,0,0,0,0
52SUR0GGMM11,0,0,0,0,0
52SUR0QQSS11,0,0,0,0,0
52SUR0SSUU11,0,0,0,0,0
56SUR0CCKK11,0,0,0,0,0
57SUR0CCKK11,0,0,0,0,0
57SUR1GGMM11,0,0,0,0,0
58DCM0CCKK11,0,0,0,0,0
58DCM1GGMM11,0,0,0,0,0
5DCM1GGMM11,0,0,0,0,0
5DCM1SSUU11,0,0,0,0,0
5SUR1GGMM11,0,0,0,0,0
5SUR1SSUU11,0,0,0,0,0
62SUR0CCKK11,0,0,0,0,0
64DCM0CCKK11,0,0,0,0,0
64DCM1GGMM11,0,0,0,0,0
64DCM1QQSS11,0,0,0,0,0
64DCM1SSUU11,0,0,0,0,0
64SUR0CCKK11,0,0,0,0,0
64SUR1GGMM11,0,0,0,0,0
64SUR1QQSS11,0,0,0,0,0
64SUR2MMQQ11,0,0,0,0,0
65DCM0CCKK11,0,0,0,0,0
65DCM1GGMM11,0,0,0,0,0
65SUR0CCKK11,0,0,0,0,0
65SUR1QQSS11,0,0,0,0,0
65SUR1SSUU11,0,0,0,0,0
66DCM0CCKK11,0,0,0,0,0
66SUR0CCKK11,0,0,0,0,0
66SUR1GGMM11,0,0,0,0,0
67SUR0CCKK11,0,0,0,0,0
67SUR1GGMM11,0,0,0,0,0
67SUR1GGZZ11,0,0,0,0,0
67SUR1MMQQ11,0,0,0,0,0
67SUR1QQSS11,0,0,0,0,0
67SUR1SSUU11,0,0,0,0,0
68DCM0CCKK11,0,0,0,0,0
68DCM1GGMM11,0,0,0,0,0
68DCM1GGZZ11,0,0,0,0,0
68DCM1QQSS11,0,0,0,0,0
68SUR0CCKK11,0,0,0,0,0
68SUR1GGMM11,0,0,0,0,0
68SUR1GGZZ11,0,0,0,0,0
68SUR1QQSS11,0,0,0,0,0
6DCM2GGMM11,0,0,0,0,0
6DCM2SSUU11,0,0,0,0,0
6SUR1GGMM11,0,0,0,0,0
6SUR2GGMM11,0,0,0,0,0
6SUR2MMQQ11,0,0,0,0,0
6SUR2SSUU11,0,0,0,0,0
70SUR0CCKK11,0,0,0,0,0
70SUR1GGMM11,0,0,0,0,0
70SUR1GGZZ11,0,0,0,0,0
70SUR1MMQQ11,0,0,0,0,0
70SUR1QQSS11,0,0,0,0,0
70SUR1SSUU11,0,0,0,0,0
71SUR1GGMM11,0,0,0,0,0
71SUR1GGZZ11,0,0,0,0,0
71SUR1MMQQ11,0,0,0,0,0
71SUR1QQSS11,0,0,0,0,0
71SUR1SSUU11,0,0,0,0,0
72DCM0CCKK11,0,0,0,0,0
72DCM0GGMM11,0,0,0,0,0
72DCM0GGZZ11,0,0,0,0,0
72DCM0MMQQ11,0,0,0,0,0
72DCM0QQSS11,0,0,0,0,0
72DCM0SSUU11,0,0,0,0,0
72SUR0CCKK11,0,0,0,0,0
72SUR0GGMM11,0,0,0,0,0
72SUR0GGZZ11,0,0,0,0,0
72SUR0QQSS11,0,0,0,0,0
72SUR0SSUU11,0,0,0,0,0
76DCM0CCKK11,0,0,0,0,0
76DCM1GGMM11,0,0,0,0,0
76DCM1GGZZ11,0,0,0,0,0
76DCM1QQSS11,0,0,0,0,0
76DCM1SSUU11,0,0,0,0,0
76SUR0CCKK11,0,0,0,0,0
76SUR1GGMM11,0,0,0,0,0
76SUR1GGZZ11,0,0,0,0,0
76SUR1MMQQ11,0,0,0,0,0
76SUR1QQSS11,0,0,0,0,0
76SUR1SSUU11,0,0,0,0,0
78DCM0CCKK11,0,0,0,0,0
78DCM1GGMM11,0,0,0,0,0
78DCM1GGZZ11,0,0,0,0,0
78DCM1QQSS11,0,0,0,0,0
78DCM1SSUU11,0,0,0,0,0
78SUR0CCKK11,0,0,0,0,0
78SUR1GGMM11,0,0,0,0,0
78SUR1GGZZ11,0,0,0,0,0
78SUR1MMQQ11,0,0,0,0,0
7DCM0CCII11,0,0,0,0,0
7DCM1GGMM11,0,0,0,0,0
7DCM1MMQQ11,0,0,0,0,0
7DCM1QQSS11,0,0,0,0,0
7DCM1SSUU11,0,0,0,0,0
7SUR0CCII11,0,0,0,0,0
7SUR1GGMM11,0,0,0,0,0
7SUR1QQSS11,0,0,0,0,0
7SUR1SSUU11,0,0,0,0,0
80SUR0GGZZ11,0,0,0,0,0
80SUR1GGMM11,0,0,0,0,0
80SUR1SSUU11,0,0,0,0,0
81DCM1GGMM11,0,0,0,0,0
81DCM1MMQQ11,0,0,0,0,0
81SUR1GGMM11,0,0,0,0,0
81SUR1MMQQ11,0,0,0,0,0
82DCM0CCKK11,0,0,0,0,0
82DCM0GGZZ11,0,0,0,0,0
82DCM0SSUU11,0,0,0,0,0
82SUR0CCKK11,0,0,0,0,0
82SUR0GGMM11,0,0,0,0,0
82SUR0GGZZ11,0,0,0,0,0
82SUR0QQSS11,0,0,0,0,0
82SUR0SSUU11,0,0,0,0,0
83SUR01QQRR11,0,0,0,0,0
83SUR0SSUU11,0,0,0,0,0
83SUR1GGMM11,0,0,0,0,0
83SUR1GGZZ11,0,0,0,0,0
84SUR0CCKK11,0,0,0,0,0
84SUR0GGMM11,0,0,0,0,0
84SUR0GGZZ11,0,0,0,0,0
84SUR0QQSS11,0,0,0,0,0
84SUR0SSUU11,0,0,0,0,0
85DCM0CCKK11,0,0,0,0,0
85DCM0GGMM11,0,0,0,0,0
85DCM0GGZZ11,0,0,0,0,0
85DCM0SSUU11,0,0,0,0,0
85DCM1QQSS11,0,0,0,0,0
85SUR0CCKK11,0,0,0,0,0
85SUR0GGMM11,0,0,0,0,0
85SUR0GGZZ11,0,0,0,0,0
85SUR1QQSS11,0,0,0,0,0
86DCM1GGMM11,0,0,0,0,0
86DCM1GGZZ11,0,0,0,0,0
86DCM1SSUU11,0,0,0,0,0
86SUR1GGMM11,0,0,0,0,0
86SUR1GGZZ11,0,0,0,0,0
86SUR1MMQQ11,0,0,0,0,0
86SUR1QQSS11,0,0,0,0,0
86SUR1SSUU11,0,0,0,0,0
87SUR01QQRR11,0,0,0,0,0
87SUR1GGMM11,0,0,0,0,0
87SUR1GGZZ11,0,0,0,0,0
87SUR1MMQQ11,0,0,0,0,0
87SUR1SSUU11,0,0,0,0,0
88SUR1GGMM11,0,0,0,0,0
88SUR1GGZZ11,0,0,0,0,0
88SUR1QQSS11,0,0,0,0,0
88SUR1SSUU11,0,0,0,0,0
89SUR1GGMM11,0,0,0,0,0
89SUR1GGZZ11,0,0,0,0,0
89SUR1QQSS11,0,0,0,0,0
89SUR1SSUU11,0,0,0,0,0
8DCM1GGMM11,0,0,0,0,0
8DCM1QQSS11,0,0,0,0,0
8DCM1SSUU11,0,0,0,0,0
8SUR1GGMM11,0,0,0,0,0
8SUR1MMQQ11,0,0,0,0,0
8SUR1QQSS11,0,0,0,0,0
8SUR1SSUU11,0,0,0,0,0
90SUR1GGMM11,0,0,0,0,0
90SUR1MMQQ11,0,0,0,0,0
90SUR1QQSS11,0,0,0,0,0
90SUR1SSUU11,0,0,0,0,0
91SUR1GGMM11,0,0,0,0,0
91SUR1MMQQ11,0,0,0,0,0
91SUR1QQSS11,0,0,0,0,0
92SUR1GGMM11,0,0,0,0,0
92SUR1GGZZ11,0,0,0,0,0
92SUR1MMQQ11,0,0,0,0,0
92SUR1QQSS11,0,0,0,0,0
92SUR1SSUU11,0,0,0,0,0
93DCM01QQRR11,0,0,0,0,0
93DCM0CCKK11,0,0,0,0,0
93DCM1GGMM11,0,0,0,0,0
93DCM1SSUU11,0,0,0,0,0
93SUR01GGZZ11,0,0,0,0,0
93SUR0CCKK11,0,0,0,0,0
93SUR1GGMM11,0,0,0,0,0
93SUR1GGZZ11,0,0,0,0,0
93SUR1MMQQ11,0,0,0,0,0
93SUR1SSUU11,0,0,0,0,0
93SUR2QQSS11,0,0,0,0,0
94SUR0CCKK11,0,0,0,0,0
94SUR1GGMM11,0,0,0,0,0
94SUR1GGZZ11,0,0,0,0,0
94SUR1MMQQ11,0,0,0,0,0
94SUR1QQSS11,0,0,0,0,0
94SUR1SSUU11,0,0,0,0,0
95SUR1GGMM11,0,0,0,0,0
95SUR1GGZZ11,0,0,0,0,0
95SUR1MMQQ11,0,0,0,0,0
95SUR1QQSS11,0,0,0,0,0
95SUR1SSUU11,0,0,0,0,0
96DCM1GGMM11,0,0,0,0,0
96DCM1GGZZ11,0,0,0,0,0
96DCM1SSUU11,0,0,0,0,0
96DCM2MMQQ11,0,0,0,0,0
96SUR0CCKK11,0,0,0,0,0
96SUR1GGMM11,0,0,0,0,0
96SUR1GGZZ11,0,0,0,0,0
96SUR1MMQQ11,0,0,0,0,0
96SUR1QQSS11,0,0,0,0,0
96SUR1SSUU11,0,0,0,0,0
97DCM1GGZZ11,0,0,0,0,0
97DCM1SSUU11,0,0,0,0,0
97DCM2GGMM11,0,0,0,0,0
97SUR1GGMM11,0,0,0,0,0
97SUR1GGZZ11,0,0,0,0,0
97SUR1QQSS11,0,0,0,0,0
97SUR1SSUU11,0,0,0,0,0
98DCM0CCKK11,0,0,0,0,0
98DCM1QQSS11,0,0,0,0,0
98DCM1SSUU11,0,0,0,0,0
98SUR0CCKK11,0,0,0,0,0
98SUR1GGMM11,0,0,0,0,0
98SUR1MMQQ11,0,0,0,0,0
98SUR1QQSS11,0,0,0,0,0
98SUR1SSUU11,0,0,0,0,0
99SUR0CCKK11,0,0,0,0,0
99SUR1GGMM11,0,0,0,0,0
99SUR1GGZZ11,0,0,0,0,0
99SUR1MMQQ11,0,0,0,0,0
99SUR1QQSS11,0,0,0,0,0
99SUR1SSUU11,0,0,0,0,0
9DCM0CCII11,0,0,0,0,0
9DCM1GGMM11,0,0,0,0,0
9SUR0CCII11,0,0,0,0,0
9SUR1GGMM11,0,0,0,0,0